Kent-Sussex-Wessex	0884	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	CH	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0884	SO280	MCL	Route Boundary (LN3213) (Kentish Town Jn)	ELR change (Former Farringdon Jn)	Route Boundary (LN3213) (Kentish Town Jn) – ELR change (Former Farringdon Jn)	0	66	0	00	N	N	N	N	N	N	N	N	N	N	Y
Kent-Sussex-Wessex	0884	SO280	FTL	ELR change (Former Farringdon Jn)	Snow Hill Tunnel (Change of Mileage)	ELR change (Former Farringdon Jn) – Snow Hill Tunnel (Change of Mileage)	0	00	0	39	N	N	N	N	N	N	N	N	N	N	Y
Kent-Sussex-Wessex	0884	SO280	HHH	Snow Hill Tunnel (Change of Mileage)	Blackfriars	Snow Hill Tunnel (Change of Mileage) – Blackfriars	0	21	0	35	N	N	N	N	N	N	N	N	N	Y	N
Kent-Sussex-Wessex	0884	SO280	HHH	Blackfriars	Blackfriars Jn	Blackfriars – Blackfriars Jn	0	35	0	63	N	N	N	N	Y	N	N	Y	Y	Y	Y
Kent-Sussex-Wessex	0884	SO280	BMJ	Blackfriars Jn	Metropolitan Jn	Blackfriars Jn – Metropolitan Jn	0	63	1	14	N	N	N	N	Y	Y	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO280	HHH	Blackfriars Jn	Loughborough Jn	Blackfriars Jn – Loughborough Jn	0	63	3	36	N	N	N	N	Y	Y	N	Y	Y	Y	Y
Kent-Sussex-Wessex	0884	SO280	LTC	Loughborough Jn	Cambria Jn	Loughborough Jn – Cambria Jn	3	34	3	62	N	N	N	N	Y	Y	N	Y	Y	Y	Y
Kent-Sussex-Wessex	0884	SO280	LOC	Loughborough Jn	Canterbury Road Jn	Loughborough Jn – Canterbury Road Jn	3	39	3	79	N	N	N	N	Y	Y	N	Y	Y	Y	Y
Kent-Sussex-Wessex	0884	SO280	HHH	Loughborough Jn	Herne Hill North Jn	Loughborough Jn – Herne Hill North Jn	3	36	4	30	N	N	N	N	Y	Y	N	Y	Y	Y	Y
Kent-Sussex-Wessex	0884	SO290	NKL	North Kent East Jn (SO130)	Charlton Jn	North Kent East Jn (SO130) – Charlton Jn	4	25	7	35	N	N	N	N	N	N	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO290	NKL	Charlton Jn	Charlton	Charlton Jn – Charlton	7	35	7	44	Y	N	N	N	N	N	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO290	NKL	Charlton	Slade Green Jn	Charlton – Slade Green Jn	7	44	15	36	N	N	N	N	N	N	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO290	NKL	Slade Green Jn	Crayford Creek Jn	Slade Green Jn – Crayford Creek Jn	15	36	15	66	Y	N	N	N	E	E	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO290	NKL	Crayford Creek Jn	Crayford Spur ‘A’ Jn	Crayford Creek Jn – Crayford Spur ‘A’ Jn	15	66	16	42	Y	N	N	N	E	E	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO290	NKL	Crayford Spur ‘A’ Jn	Dartford Jn	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	Y	N	N	N	N	N	N	Y	Y	N	Y
Kent-Sussex-Wessex	0884	SO300	BEX	Lewisham Jn	Blackheath Jn	Lewisham Jn – Blackheath Jn	5	74	7	14	Y	N	N	N	E R1 R2 R3	E R1 R2 R3	N	Y	Y	Y	Y	R1 45mph maximum speed R2 10mph Lewisham platform 4 (Down North Kent) R3 10mph Blackheath platform 2
Kent-Sussex-Wessex	0884	SO300	BTC	Blackheath Jn	Charlton Jn	Blackheath Jn – Charlton Jn	7	14	8	67	Y	N	N	N	N	N	N	Y	Y	Y	Y
