Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1035	SO260	CAT	Brixton Jn – Canterbury Road Jn	3	08	3	24	8	Y	
Kent-Sussex-Wessex	1035	SO260	CAT	Canterbury Road Jn – Cambria Jn	3	24	3	68	8	Y	
Kent-Sussex-Wessex	1035	SO260	CAT	Cambria Jn – Nunhead Jn	3	68	6	09	8	Y	
Kent-Sussex-Wessex	1035	SO260	CAT	Nunhead Jn – Ravensbourne Jn	6	09	10	44	8	R1	R1 Prohibited between Crofton Park and Catford on the Down Catford Loop line
Kent-Sussex-Wessex	1035	SO260	RVC	Ravensbourne Jn – Shortlands Jn via Ravensbourne Chord	0	00	0	48	8	Y	
Kent-Sussex-Wessex	1035	SO260	CAT	Ravensbourne Jn – Shortlands Jn	10	44	10	73	8	Y	
Kent-Sussex-Wessex	1035	SO280	MCL	Route Boundary (LN3213) (Kentish Town Jn) – ELR change (former Farringdon Jn)	0	66	0	00	4	Y	
Kent-Sussex-Wessex	1035	SO280	FTL	ELR change (former Farringdon Jn) – Snow Hill Tunnel (Change of Mileage)	0	00	0	39	4	N	
Kent-Sussex-Wessex	1035	SO280	HHH	Snow Hill Tunnel (Change of Mileage) – Blackfriars	0	21	0	35	8	Y	
Kent-Sussex-Wessex	1035	SO280	HHH	Blackfriars – Blackfriars Jn	0	35	0	63	8	Y	
Kent-Sussex-Wessex	1035	SO280	BMJ	Blackfriars Jn – Metropolitan Jn	0	63	1	14	8	Y	
Kent-Sussex-Wessex	1035	SO280	HHH	Blackfriars Jn – Loughborough Jn	0	63	3	36	8	Y	
Kent-Sussex-Wessex	1035	SO280	LTC	Loughborough Jn – Cambria Jn	3	34	3	62	8	Y	
Kent-Sussex-Wessex	1035	SO280	LOC	Loughborough Jn – Canterbury Road Jn	3	39	3	79	8	Y	
Kent-Sussex-Wessex	1035	SO280	HHH	Loughborough Jn – Herne Hill North Jn	3	36	4	30	8	R1	R1 Prohibited on the Up Holborn line
Kent-Sussex-Wessex	1035	SO290	NKL	North Kent East Jn (SO130) – Charlton Jn	4	25	7	35	6	N	
Kent-Sussex-Wessex	1035	SO290	NKL	Charlton Jn – Charlton	7	35	7	44	8	N	
Kent-Sussex-Wessex	1035	SO290	NKL	Charlton – Slade Green Jn	7	44	15	36	8	R1 R2	R1 Prohibited between Charlton and Plumstead on the Down North Kent line R2 Prohibited between Charlton and Plumstead on the Up North Kent line
Kent-Sussex-Wessex	1035	SO290	NKL	Slade Green Jn – Crayford Creek Jn	15	36	15	66	8	Y	
Kent-Sussex-Wessex	1035	SO290	NKL	Crayford Creek Jn – Crayford Spur ‘A’ Jn	15	66	16	42	8	Y	
Kent-Sussex-Wessex	1035	SO290	NKL	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	8	Y	
Kent-Sussex-Wessex	1035	SO300	BEX	Lewisham Jn – Blackheath Jn	5	74	7	14	8	Y	
