Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166	170	171	172	180	220	221	Notes
Kent-Sussex-Wessex	1057	SW205	LEJ	Leatherhead – Effingham Jn	18	02	22	15	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1057	SW210	RDG1	Clapham Jn – Point Pleasant Jn	3	74	5	09	Y	Y	N	N	Y	N	N	
Kent-Sussex-Wessex	1057	SW210	RDG1	Point Pleasant Jn – Richmond	5	09	9	57	Y	Y	N	N	Y	N	N	
Kent-Sussex-Wessex	1057	SW210	RDG1	Richmond – Virginia Water	9	57	23	15	Y	Y	N	N	Y	N	N	
Kent-Sussex-Wessex	1057	SW210	RDG1	Virginia Water – Wokingham Jn	23	15	36	35	Y	N	N	N	R1	N	N	R1 15mph through Bracknell
Kent-Sussex-Wessex	1057	SW210	RDG2	Wokingham Jn – Reading Spur Jn	61	72	67	76	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	1057	SW210	RNJ	Reading Spur Jn – Route Boundary (GW190) (Reading New Jn)	68	00	67	76	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	1057	SW210	RDG2	Reading Spur Jn – Reading Southern Jn	67	76	68	25	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	1057	SW210	RLL	Route Boundary Western (Reading East Main Jn) – Reading Southern Jn	35	35	0	00	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	1057	SW210	RDG2	Reading Southern Jn – Reading platforms 4, 5 and 6	68	25	68	68	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	1057	SW220	CKL	Latchmere Jn No.3 – Latchmere Jn No.1 [Duplicated in SO250]	2	39	2	50	N	N	Y	N	N	Y	Y	
Kent-Sussex-Wessex	1057	SW220	WLL	Latchmere Jn No.1 – Latchmere Jn No.2 [Duplicated in SO250]	0	63	0	68	N	N	Y	Y	N	Y	Y	
Kent-Sussex-Wessex	1057	SW220	WLL	Latchmere Jn No.2 – Kensington Olympia [Duplicated in SO250]	0	71	3	42	N	N	Y	Y	N	Y	Y	
Kent-Sussex-Wessex	1057	SW225	PPW	Point Pleasant Jn – Network Rail Boundary (TfL – District Line)	5	09	5	67	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1057	SW225	PPW	Network Rail Boundary (TfL – District Line) – Wimbledon North Jn (TfL infrastructure)	5	67	8	26	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1057	SW230	HOU	Barnes – New Kew Jn	7	07	9	34	N	N	N	N	Y	N	N	
Kent-Sussex-Wessex	1057	SW230	NKE2	New Kew Jn – Route Boundary (EA1330) (Kew East Jn)	9	34	9	64	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1057	SW230	HOU	New Kew Jn – Old Kew Jn	9	34	10	01	N	N	N	N	Y	N	N	
Kent-Sussex-Wessex	1057	SW230	BOK5	Old Kew Jn – Route Boundary (EA1330) (Kew East Jn)	3	69	3	61	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1057	SW230	HOU	Old Kew Jn – Hounslow Jn	10	01	14	09	N	N	N	N	Y	N	N	
