Kent-Sussex-Wessex	0851	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	170	171	172	220	221	Notes
Kent-Sussex-Wessex	0851	SO110	VIR	Victoria platforms 1-8	Battersea Pier Jn	Victoria platforms 1-8 – Battersea Pier Jn	0	00	0	70	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	BSP1	Battersea Pier Jn	Connection to Stewarts Lane Up and Down lines (via Battersea Reversible)	Battersea Pier Jn – Connection to Stewarts Lane Up and Down lines (via Battersea Reversible)	0	71	1	33	N	Y	N	N	N
Kent-Sussex-Wessex	0851	SO110	VIR	Battersea Pier Jn	Linford Street Jn	Battersea Pier Jn – Linford Street Jn	0	70	1	45	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	AHG	Linford Street Jn	Route Boundary (SW100) (Nine Elms Jn)	Linford Street Jn – Route Boundary (SW100) (Nine Elms Jn)	2	50	2	00	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	VIR	Linford Street Jn	Factory Jn	Linford Street Jn – Factory Jn	1	45	1	61	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	FLL1	Factory Jn	Longhedge Jn	Factory Jn – Longhedge Jn	0	40	0	03	N	Y	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	VIR	Factory Jn	Shepherds 5Lane Jn	Factory Jn – Shepherds 5Lane Jn	1	61	2	70	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	VIR	Shepherds Lane Jn	Brixton Jn	Shepherds Lane Jn – Brixton Jn	2	70	3	08	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	VIR	Brixton Jn	Herne Hill North Jn	Brixton Jn – Herne Hill North Jn	3	08	3	70	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	VIR	Herne Hill North Jn	Herne Hill South Jn	Herne Hill North Jn – Herne Hill South Jn	3	70	4	06	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	HHT	Herne Hill South Jn	Route Boundary Sussex (Tulse Hill)	Herne Hill South Jn – Route Boundary Sussex (Tulse Hill)	4	06	4	63	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	HHT	Route Boundary Kent (Herne Hill South Jn)	Tulse Hill North Jn	Route Boundary Kent (Herne Hill South Jn) – Tulse Hill North Jn	4	63	4	76	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	HHT	Route Boundary Kent (Herne Hill South Jn)	Tulse Hill Substation via platforms 1 and 2	Route Boundary Kent (Herne Hill South Jn) – Tulse Hill Substation via platforms 1 and 2	4	63	5	15	N	N	N	Y	Y
Kent-Sussex-Wessex	0851	SO110	VIR	Herne Hill South Jn	Beckenham Jn	Herne Hill South Jn – Beckenham Jn	4	06	8	43	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	VIR	Beckenham Jn	Shortlands Jn	Beckenham Jn – Shortlands Jn	8	43	9	57	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	VIR	Shortlands Jn	Bickley Jn	Shortlands Jn – Bickley Jn	9	57	12	38	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	TLP1	Bickley Jn	Petts Wood (Fast Tonbridge Loop)	Bickley Jn – Petts Wood (Fast Tonbridge Loop)	12	38	13	29	N	N	N	N	N
Kent-Sussex-Wessex	0851	SO110	TLP2	Bickley Jn	Petts Wood (Slow Tonbridge Loop)	Bickley Jn – Petts Wood (Slow Tonbridge Loop)	12	49	13	35	N	N	N	N	N
