Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Kent-Sussex-Wessex	1017	SO550	Redhill – Tonbridge	Y *	Y	Y	S	N	N	N	N	S1 The following combinations are permitted, up to: 2770 (h) x 2550 (w) box on FIA IFAwagons 2896 (h) x 2550 (w) box on IKA FKAwagons 2553 (h) x 2500 (w) box on IFB wagons
Kent-Sussex-Wessex	1017	SO560	Redhill – Shalford Jn	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO590	Keymer Jn – Southerham Jn	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO590	Southerham Jn – Eastbourne	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO600	Willingdon Jn – Hastings	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO600	Hastings – Ashford 'D' Jn	S *	N	N	N	N	N	N	N	S1 The following combinations are permitted, up to: 2438 (h) x 2438 (w) box on FEA wagons
Kent-Sussex-Wessex	1017	SO620	Brighton – Seaford	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO620	Newhaven Harbour Jn – Newhaven Harbour	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO630	Preston Park Jn / Brighton – Littlehampton	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO640	Barnham – Bognor Regis	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO645	Battersea Park – Factory Jn (Atlantic Lines)	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1017	SO645	Factory Jn – Crofton Road Jn (Atlantic Lines) (SO110) (SO260)	Y	Y	S1	S1	N	N	N	N	S1 The following (W8) combinations are permitted, up to: 2896 (h) x 2500 (w) box on FAA FLA wagons 2590 (h) x 2500 (w) box on FCA FEA FSA/FTA KFA wagons 2625(h)x2550(w)box on FEA FSA/FTA wagons 2667 (h) x 2500 (w) box on FIA wagon 2615(h)x2550(w)box on KFA wagons Down Atlantic Line and Up Atlantic Line
