Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1128	SO110	VIR	Faversham Jn – Ramsgate Station	52	13	79	21	8	R1 R2 R3	R4 Prohibited between Faversham Jn and Whitstable on the Up Thanet line R5 Prohibited Herne Bay platform 1 (Up line) R6 Prohibited between Herne Bay and Birchington on Sea on the Down Thanet line
Kent-Sussex-Wessex	1128	SO110	ACR	Ramsgate Station – Ramsgate Substation	85	67	85	22	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Charing Cross – Metropolitan Jn	0	00	1	31	4	Y	
Kent-Sussex-Wessex	1128	SO130	CBM	Cannon Street – Cannon Street Substation	0	00	0	20	8	Y	
Kent-Sussex-Wessex	1128	SO130	CSW	Cannon Street Sub Station – Metropolitan Jn (via Metropolitan Reversible line)	1	53	1	33	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Metropolitan Jn – Borough Market Jn	1	31	1	50	8	Y	
Kent-Sussex-Wessex	1128	SO130	CBM	Cannon Street Substation – Borough Market Jn	0	20	0	38	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Borough Market Jn – London Bridge platforms 1-9	1	50	1	69	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	London Bridge platforms 1-9 – North Kent East Jn	1	69	4	25	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	North Kent East Jn – Tanners Hill Jn	4	25	5	29	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Tanners Hill Jn – Parks Bridge Jn	5	29	6	14	8	Y	
Kent-Sussex-Wessex	1128	SO130	LLL	Parks Bridge Jn – Ladywell Jn	6	14	6	29	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Parks Bridge Jn – Courthill Loop South Jn	6	14	6	21	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Courthill Loop South Jn – Hither Green Jn	6	21	7	04	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Hither Green Jn – Lee Spur Jn	7	04	7	44	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Lee Spur Jn – Chislehurst Jn	7	44	11	33	8	Y	
Kent-Sussex-Wessex	1128	SO130	CSM1	Chislehurst Jn – St. Mary Cray Down Jn via Reversible Chatham Loop	11	33	11	71	8	Y	
Kent-Sussex-Wessex	1128	SO130	CSM3	Chislehurst Jn – Hawkwood Jn (Up Chatham Loop)	11	33	11	66	8	Y	
Kent-Sussex-Wessex	1128	SO130	XTD	Chislehurst Jn – Petts Wood Jns	11	33	12	27	8	Y	
