Kent-Sussex-Wessex	1054	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Kent-Sussex-Wessex	1054					W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Kent-Sussex-Wessex	1054	SW110	Havant Jn – Portsmouth Harbour	Havant Jn	Portsmouth Harbour	Y *	R1	S1	N	N	N	N	N	R1 W7 Prohibited between Blackfriars Jn and Portsmouth Harbour S1 The following combinations are permitted, up to: 2896 (h) x 2500 (w) box on FAA wagons 2675 (h) x 2550 (w) box on FKA IKA wagons 2595 (h) x 2550 (w) box on IFA FIA wagons between Portcreek Jn and Fratton Yard ONLY
Kent-Sussex-Wessex	1054	SW115	Basingstoke, Worting Jn – Salisbury Tunnel Jn	Basingstoke, Worting Jn	Salisbury Tunnel Jn	Y *	Y	Y	R1 R2	R1 R2	R1 R2	R1 R2	R1 R2	R1 PROHIBITED Laverstock North Jn to Salisbury Tunnel Jn R2 PROHIBITED Andover Up yard and Branch
Kent-Sussex-Wessex	1054	SW115	Salisbury Tunnel Jn – Wilton Jn	Salisbury Tunnel Jn	Wilton Jn	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2896 (h) x 2500 (w) box on FAA FLA wagons 2590 (h) x 2500 (w) box on FCA wagons 2667 (h) x 2500 (w) box on FKA IFA wagons 2625 (h) x 2550 (w) box on FEA FSA/FTA wagons 2615 (h) x 2550 (w) box on KFA wagons 25mph, Down Line at Fisherton Tunnel [ 82m 37ch to 82m 57ch ]
Kent-Sussex-Wessex	1054	SW115	Wilton Jn – Dinton	Wilton Jn	Dinton	Y	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	1054	SW115	Dinton – Exeter St Davids	Dinton	Exeter St Davids	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1054	SW115	Andover Jn – Ludgershall	Andover Jn	Ludgershall	Y	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1054	SW115	Laverstock Loop (SW150)	Laverstock Loop (SW150)		Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1054	SW120	Pirbright Jn – Alton	Pirbright Jn	Alton	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1054	SW125	Southcote Jn – Basingstoke	Southcote Jn	Basingstoke	Y *	Y	Y	N	N	Y	N	N	
Kent-Sussex-Wessex	1054	SW130	Eastleigh – Romsey	Eastleigh	Romsey	Y	Y	Y	Y	Y	Y	Y	Y	
