Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Kent-Sussex-Wessex	1015	SO310	Hoo Junction – Rochester Bridge Jn	Y *	S	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2590(h) x 2500(w) box on FEA FSA/FTA wagons 2667 (h) x 2500 (w) box on FAA FLA wagons 25 mph Up North Kent line Higham Tunnel [28m55ch to 29m 45ch] 35 mph Both lines Strood Tunnel [29m 48ch to 30m 74ch]
Kent-Sussex-Wessex	1015	SO310	Strood – Maidstone West	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO310	Lee Spur Jn – Lee Loop Jn (SO130)	Y	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO310	Crayford Spur 'B' Jn – Crayford Spur 'A' Jn (SO290)	Y	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO310	Ebbsfleet (NR Boundary) – Springhead Road Jn	-	-	-	-	N	-	N	-	
Kent-Sussex-Wessex	1015	SO320	Hoo Jn – Grain (Goods Line)	Y	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO330	Nunhead – Courthill Loop Jn South (SO130)	Y *	Y	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2896 (h) x 2500 (w) box on FAA FLA wagons 2590 (h) x 2500 (w) box on FCA FEA FSA/FTA KFA wagons 2625(h)x2550(w)box on FEA FSA/FTA wagons 2615 (h) x 2550 (w) box on KFA wagons
Kent-Sussex-Wessex	1015	SO330	Courthill Loop Jn North – Hayes	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO330	New Beckenham – Beckenham Junction	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO350	Grove Park – Bromley North	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO500	Victoria – Pouparts Jn	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1015	SO500	Pouparts Jn – Clapham Junction (Falcon Jn)	Y *	Y	N	N	N	N	N	N	
