Kent-Sussex-Wessex	0928	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0928	SO250	WLL	Kensington Olympia	Northbound AC/DC changeover	Kensington Olympia – Northbound AC/DC changeover	3	42	5	16	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO250	WLL	Northbound AC/DC changeover	Southbound AC/DC changeover	Northbound AC/DC changeover – Southbound AC/DC changeover	5	16	5	43	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO250	WLL	Southbound AC/DC changeover	Route Boundary (MD166) (Mitre Bridge Jn)	Southbound AC/DC changeover – Route Boundary (MD166) (Mitre Bridge Jn)	5	43	5	65	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO260	CAT	Brixton Jn	Canterbury Road Jn	Brixton Jn – Canterbury Road Jn	3	08	3	24	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO260	CAT	Canterbury Road Jn	Cambria Jn	Canterbury Road Jn – Cambria Jn	3	24	3	68	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO260	CAT	Cambria Jn	Nunhead Jn	Cambria Jn – Nunhead Jn	3	68	6	09	Y	Y	R1	N	N	N	N	R1 20mph Peckham Rye platform 4 Down Catford Loop line
Kent-Sussex-Wessex	0928	SO260	CAT	Nunhead Jn	Ravensbourne Jn	Nunhead Jn – Ravensbourne Jn	6	09	10	44	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO260	RVC	Ravensbourne Jn	Shortlands Jn via Ravensbourne Chord	Ravensbourne Jn – Shortlands Jn via Ravensbourne Chord	0	00	0	48	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO260	CAT	Ravensbourne Jn	Shortlands Jn	Ravensbourne Jn – Shortlands Jn	10	44	10	73	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	MCL	Route Boundary (LN3213) (Kentish Town Jn)	ELR change (Former Farringdon Jn)	Route Boundary (LN3213) (Kentish Town Jn) – ELR change (Former Farringdon Jn)	0	66	0	00	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	FTL	ELR change (Former Farringdon Jn)	Snow Hill Tunnel (Change of Mileage)	ELR change (Former Farringdon Jn) – Snow Hill Tunnel (Change of Mileage)	0	00	0	39	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	HHH	Snow Hill Tunnel (Change of Mileage)	Blackfriars	Snow Hill Tunnel (Change of Mileage) – Blackfriars	0	21	0	35	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	HHH	Blackfriars	Blackfriars Jn	Blackfriars – Blackfriars Jn	0	35	0	63	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	BMJ	Blackfriars Jn	Metropolitan Jn	Blackfriars Jn – Metropolitan Jn	0	63	1	14	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	HHH	Blackfriars Jn	Loughborough Jn	Blackfriars Jn – Loughborough Jn	0	63	3	36	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	LTC	Loughborough Jn	Cambria Jn	Loughborough Jn – Cambria Jn	3	34	3	62	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	LOC	Loughborough Jn	Canterbury Road Jn	Loughborough Jn – Canterbury Road Jn	3	39	3	79	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO280	HHH	Loughborough Jn	Herne Hill North Jn	Loughborough Jn – Herne Hill North Jn	3	36	4	30	Y	Y	Y	N	N	N	N
Kent-Sussex-Wessex	0928	SO290	NKL	North Kent East Jn (SO130)	Charlton Jn	North Kent East Jn (SO130) – Charlton Jn	4	25	7	35	Y	Y	N	N	N	N	N
Kent-Sussex-Wessex	0928	SO290	NKL	Charlton Jn	Charlton	Charlton Jn – Charlton	7	35	7	44	Y	Y	N	N	N	N	N
