Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	395	442	444	450	455	456	458	465	466	508	700	707	Notes
Kent-Sussex-Wessex	0920	SO110	VIR	Victoria platforms 1-8 – Battersea Pier Jn	0	00	0	70	R1	Y	R2	Y	Y	Y	N	Y	Y	Y	Y	R3	R1 Prohibited Victoria platforms 6, 7 and 8 R2 Prohibited Victoria platforms 3, 4, 5, 6, 7 and 8 R3 Prohibited Victoria Platform 5 with crush deflated suspension
Kent-Sussex-Wessex	0920	SO110	BSP1	Battersea Pier Jn – Connection to Stewarts Lane Up and Down lines (via Battersea Reversible)	0	71	1	33	N	Y	Y	Y	Y	Y	N	N	N	N	Y	N	
Kent-Sussex-Wessex	0920	SO110	VIR	Battersea Pier Jn – Linford Street Jn	0	70	1	45	Y	Y	N	N	R1	R1	N	Y	Y	Y	Y	Y	R1 Chatham Reversible only
Kent-Sussex-Wessex	0920	SO110	AHG	Linford Street Jn – Route Boundary (SW100) (Nine Elms Jn)	2	50	2	00	N	N	N	N	N	N	N	N	N	Y	N	E	
Kent-Sussex-Wessex	0920	SO110	VIR	Linford Street Jn – Factory Jn	1	45	1	61	Y	Y	N	N	R1	R1	N	Y	Y	Y	Y	Y	R1 Chatham Reversible only
Kent-Sussex-Wessex	0920	SO110	FLL1	Factory Jn – Longhedge Jn	0	40	0	03	N	E	Y	N	Y	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0920	SO110	VIR	Factory Jn – Shepherds Lane Jn	1	61	2	70	Y	Y	N	N	Y	Y	E	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0920	SO110	VIR	Shepherds Lane Jn – Brixton Jn	2	70	3	08	Y	Y	N	N	Y	Y	E	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0920	SO110	VIR	Brixton Jn – Herne Hill North Jn	3	08	3	70	Y	Y	N	N	Y	Y	E	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0920	SO110	VIR	Herne Hill North Jn – Herne Hill South Jn	3	70	4	06	Y	Y	N	N	Y	Y	E	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0920	SO110	HHT	Herne Hill South Jn – Route Boundary Sussex (Tulse Hill)	4	06	4	63	N	Y	N	N	Y	Y	E	N	N	Y	Y	N	
Kent-Sussex-Wessex	0920	SO110	HHT	Route Boundary Kent (Herne Hill South Jn) – Tulse Hill North Jn	4	63	4	76	N	Y	N	N	Y	Y	E	N	N	Y	Y	N	
Kent-Sussex-Wessex	0920	SO110	HHT	Route Boundary Kent (Herne Hill South Jn) – Tulse Hill Substation via platforms 1 and 2	4	63	5	15	N	R1	N	N	Y	Y	E	N	N	Y	Y	N	R1 OPPOS applies Tulse Hill platforms 1 & 2 in both directions
Kent-Sussex-Wessex	0920	SO110	VIR	Herne Hill South Jn – Beckenham Jn	4	06	8	43	Y	N	N	N	N	N	N	Y	Y	Y	Y	R1	R1 50mph Penge Tunnel Up Chatham Main Line
Kent-Sussex-Wessex	0920	SO110	VIR	Beckenham Jn – Shortlands Jn	8	43	9	57	Y	N	N	N	N	N	N	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0920	SO110	VIR	Shortlands Jn – Bickley Jn	9	57	12	38	Y	E	N	N	Y	Y	N	Y	Y	Y	Y	Y	
