Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Western	0763	GW900	SWM 2	Whitland Jn – Clarbeston Road Jn	259	01	271	08	Y	Y	Y	N	N	N	N	
Western	0763	GW900	CRL	Clarbeston Road Jn – Change of ELR (Letterston Jn)	271	08	281	58	Y	Y	Y	N	N	N	N	
Western	0763	GW900	NPF	Change of ELR (Letterston Jn) – Network Rail Boundary (Fishguard Harbour)	283	30	287	52	Y	Y	Y	N	N	N	N	
Western	0763	GW9001	SWA	Landore Jn – Swansea	214	62	216	07	Y	Y	Y	N	N	N	N	
Western	0763	GW906	SWL	Swansea Loop East Jn – Swansea Loop West Jn	0	53	0	00	Y	Y	Y	N	N	N	N	
Western	0763	GW910	CWL1	Craven Arms Jn – Change of Mileage	20	01	20	12	Y	Y	Y	N	N	N	N	
Western	0763	GW910	CWL2	Change of Mileage – Site of Former Llandovery Jn	0	00	59	14	Y	Y	Y	N	N	N	N	
Western	0763	GW910	VOT	Site of Former Llandovery Jn – Llandeilo	29	40	18	07	Y	Y	R1	N	N	N	N	R1 5mph through Llandovery Platforms
Western	0763	GW910	LLA	Llandeilo – Pantyffynnon	18	07	10	08	Y	Y	Y	N	N	N	N	
Western	0763	GW910	LLA	Pantyffynnon – Morlais Jn	10	08	3	50	Y	Y	Y	N	N	N	N	
Western	0763	GW910	LLA	Morlais Jn – Llandeilo Jn	3	50	0	00	Y	Y	Y	N	N	N	N	
Western	0763	GW915	GWA	Gwaun-cae-Gurwen – Former Jn (Change of ELR)	16	41	14	60	N	N	N	N	N	N	N	
Western	0763	GW915	GNT	Former Jn (Change of ELR) – Pantyffynnon	14	60	10	04	N	N	N	N	N	N	N	
Western	0763	GW930	CAN	Carmarthen Jn – End of Line (Beyond Carmarthen Station)	245	10	245	65	Y	Y	Y	N	N	R1	N	R1 Prohibited between Camarthen Station and End of Line
Western	0763	GW940	CAN/ CNW	Up Sidings No.2 GF – Carmarthen Bridge Jn	245	43	245	32	Y	Y	Y	N	N	N	N	
Western	0763	GW950	PEM	Whitland Jn – Pembroke RA Change	259	01	284	22	Y	Y	Y	N	N	N	N	
Western	0763	GW950	PEM	Pembroke RA Change – Pembroke Dock	284	22	286	26	Y	Y	Y	N	N	N	N	
Western	0763	GW960	SWM 2	Clarbeston Road – Haverfordwest	271	08	276	08	Y	Y	Y	N	N	N	N	
Western	0763	GW960	SWM 2	Haverfordwest – Change of ELR (Site of Former Johnston Jn)	276	08	280	70	Y	Y	Y	N	N	N	N	
Western	0763	GW960	MIL	Change of ELR (Site of Former Johnston Jn) – Herbranston Jn	280	70	283	12	Y	Y	Y	N	N	N	N	
Western	0763	GW960	MIL	Herbranston Jn – End of Line (Beyond Milford Haven)	283	12	284	71	Y	Y	Y	N	N	N	N	
Western	0763	GW970	GOB	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	0	00	2	35	N	N	N	N	N	N	N	
Western	0763	GW980	ERB	Herbrandston Jn – Robeston	0	00	1	18	N	N	N	N	N	N	N	
