Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notesooooooooooooooooooooo
Western	0723	GW103	MLN1	Reading New Jn – Westbury Line Jn	35	40	36	17	Y	Y	R1 R2	N	R3	Y	Y	N	R4	R4	N	R1 Prohibited Reading platforms 3 to 15 R2 Prohibited between Reading and Reading New Jn R3 Route prohibited to Class 172/2 and 172/3 R4 100mph between Reading New Jn and Reading
Western	0723	GW103	RLL	Reading East Jn – Route Boundary (SW210) (Reading Southern Jn)	35	61	35	38	Y	N	N	N	N	N	Y	N	Y	Y	N	
Western	0723	GW103	MLN1	Westbury Line Jn – Reading West Jn	36	17	36	78	Y	Y	N	N	R1	Y	Y	N	Y	Y	N	R1 Route prohibited to Class 172/2 and 172/3
Western	0723	GW103	MLN1	Reading West Jn – Didcot East Jn	36	78	52	66	Y	Y	N	N	R1	Y	Y	N	Y	Y	N	R1 Route prohibited to Class 172/2 and 172/3
Western	0723	GW103	MLN1	Didcot East Jn – Chester Line Jn	52	66	53	12	Y	Y	N	N	R1	Y	Y	N	R2 R3	R2 R3	N	R1 Route prohibited to Class 172/2 and 172/3 R2 100mph between Didcot and Chester Line Jn R3 Prohibited Didcot platform 4 with deflated secondary suspension
Western	0723	GW103	MLN1	Chester Line Jn – Foxhall Jn	53	12	53	55	Y	N	N	N	N	Y	Y	N	R1	R1	N	R1 100mph maximum speed
Western	0723	GW103	MLN1	Foxhall Jn – Uffington	53	55	66	39	Y	N	N	N	N	Y	Y	N	R1	R1	N	R1 100mph maximum speed
Western	0723	GW105	MLN1	Uffington – Swindon Jn	66	39	77	36	Y	N	N	N	N	Y	Y	N	R2	R2	N	R1 Prohibited Swindon platform 2 R2 100mph maximum speed
Western	0723	GW105	MLN1	Swindon Jn – Wootton Bassett Jn	77	36	83	07	Y	N	N	N	N	Y	Y	N	R1	R1	N	R1 100mph maximum speed
Western	0723	GW105	MLN1	Wootton Bassett Jn – Thingley Jn	83	07	96	10	Y	N	N	N	N	Y	Y	N	R1	R1	N	R1 100mph maximum speed
Western	0723	GW105	MLN1	Thingley Jn – North Somerset Jn	96	10	117	46	Y	N	R2	N	N	Y	Y	N	R1	R1	N	R1 100mph between Thingley Jn and Box Middle Hill Tunnel R2 - Prohibited Thingley Jn - St Annes Park or (Bristol) No.2 Tunnel
Western	0723	GW105	MLN1	North Somerset Jn – Feeder Bridge Jn	117	46	117	50	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0723	GW105	MLN1	Feeder Bridge Jn – Bristol East Jn	117	50	118	02	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
