Western	0715	GW940	CAN/ CNW	Up Sidings No.2 GF	Carmarthen Bridge Jn	Up Sidings No.2 GF – Carmarthen Bridge Jn	245	43	245	32	E	Y	Y	Y	Y	Y	Y	R1	R1	R1 Prohibited Carmarthen Down side bay platform (accessible by shunt movement only)
Western	0715	GW950	PEM	Whitland Jn	Pembroke RA Change	Whitland Jn – Pembroke RA Change	259	01	284	22	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW950	PEM	Pembroke RA Change	Pembroke Dock	Pembroke RA Change – Pembroke Dock	284	22	286	26	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW960	SWM 2	Clarbeston Road	Haverfordwest	Clarbeston Road – Haverfordwest	271	08	276	08	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW960	SWM 2	Haverfordwest	Change of ELR (Site of Former Johnston Jn)	Haverfordwest – Change of ELR (Site of Former Johnston Jn)	276	08	280	70	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW960	MIL	Change of ELR (Site of Former Johnston Jn)	Herbranston Jn	Change of ELR (Site of Former Johnston Jn) – Herbranston Jn	280	70	283	12	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW960	MIL	Herbranston Jn	End of Line (Beyond Milford Haven)	Herbranston Jn – End of Line (Beyond Milford Haven)	283	12	284	71	E	Y	Y	Y	Y	Y	Y	Y	Y
Western	0715	GW970	GOB	Gulf Oil Branch Jn	Waterston, Gulf Oil Refinery	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	0	00	2	35	N	N	N	N	N	N	N	N	N
Western	0715	GW980	ERB	Herbrandston Jn	Robeston	Herbrandston Jn – Robeston	0	00	1	18	N	N	N	N	N	N	N	N	N
