Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Western	0821	GW620	Newton Abbott West Jn – Paignton	Y *	N	N	N	N	N	N	N	
Western	0821	GW628	Laira Jn/Lipson Jn – Plymouth Friary via Speedway Jn	Y	Y	N	N	N	N	N	N	
Western	0821	GW628	Plymouth Friary Jn. – Cattewater	Y	N	N	N	N	N	N	N	
Western	0821	GW637	St Budeaux Jn – Gunnislake	Y	N	N	N	N	N	N	N	
Western	0821	GW640	Liskeard – Looe via Coombe	Y *	N	N	N	N	N	N	N	
Western	0821	GW642	Coombe (Exclusive) – Moorswater	Y	N	N	N	N	N	N	N	
Western	0821	GW650	Lostwithiel – Carne Point, Fowey	Y *	N	N	N	N	N	N	N	
Western	0821	GW660	Par – St Blazey Jn	Y *	Y	N	N	N	N	N	N	
Western	0821	GW660	St Blazey Jn – Newquay	Y	N	N	N	N	N	N	N	
Western	0821	GW660	St Blazey Jn – Par Harbour (Imerys Boundary)	Y	Y	N	N	N	N	N	N	
Western	0821	GW672	Burngullow Jn – Parkandillack	Y	N	N	N	N	N	N	N	
Western	0821	GW680	Penwithers Jn – Falmouth	Y	Y	N	N	N	N	N	N	
Western	0821	GW690	St Erth – St Ives	Y	N	N	N	N	N	N	N	
Western	0821	GW700	Gloucester Barnwood Jn – Severn Tunnel Jn	Y *	Y	Y	N	N	N	N	N	
Western	0821	GW700	Lydney Junction – NR/DFR Boundary	Y	N	N	N	N	N	N	N	
Western	0821	GW710	Llanwern Works East – Llanwern Works West via BSS	Y	Y	Y	Y	N	N	N	N	
Western	0821	GW720	Uskmouth – East Usk Jn	Y	Y	N	N	N	N	N	N	
