Western-and-Wales	0795	Line of Route	Line of Route / Sector Description	RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes	
Western-and-Wales	0795	GW864	Cogan Jn to Penarth	6	6	6					
Western-and-Wales	0795	GW870	Barry to Bridgend (VOG)	8	10	10	Over Bridge at 09m 04 ½ch (Ford Jn – St Athan) Over Bridge at 10m 06ch (Ford Jn – St Athan)	20 MPH 50 MPH	20 MPH 50 MPH		Applies to HTA, BAA & BBA wagons only Applies to HTA, BAA & BBA wagons only
Western-and-Wales	0795	GW874	Llynfi Jn to Tondu	6	10	10	THROUGHOUT	20 MPH	20 MPH		
Western-and-Wales	0795	GW874	Tondu to Maesteg	6	7B	7B					
Western-and-Wales	0795	GW877	Tondu to Port Talbot Dks (OVE)	6	10	10					
Western-and-Wales	0795	GW890	Court Sart Jn / Up Flying Loop Jn to Morlais Jn	8	10	10					
Western-and-Wales	0795	GW8901	Dynevor Jn to Jersey Marine Jn South	6	10	10					
Western-and-Wales	0795	GW892	Cwmgwrach to Burrows Sidings	6	9	9					
Western-and-Wales	0795	GW893	Onllwyn to Neath and Brecon Jn	6	9	9					
Western-and-Wales	0795	GW894	Jersey Marine Jn North to Jersey Marine Jn South	6	10	10					
Western-and-Wales	0795	GW897	Grovesend Colliery Loop Jn to Hendy Jn	6	9	9					
Western-and-Wales	0795	GW900	Pilning to Landore	8	10	10					
Western-and-Wales	0795	GW900	Landore to Llandeilo Jn	7	10	10					
Western-and-Wales	0795	GW900	Llandeilo Jn to Clarbeston Road	8	10	10					
Western-and-Wales	0795	GW900	Clarbeston Road to Fishguard Hbr	7	9B	9B					
Western-and-Wales	0795	GW9001	Landore Jn to Swansea	7	8	8					
Western-and-Wales	0795	GW906	Swansea Loop East Jn to Swansea Loop West Jn	7	8	8					
Western-and-Wales	0795	GW910	Craven Arms Jn to Morlais Jn (CWL)	5	5	5	Line subject to Light Railway Order. See Track / Structures Engineer for detail				
Western-and-Wales	0795	GW910	Morlais Jn to Llandeilo Jn	8	10	10					
Western-and-Wales	0795	GW915	G.C.G to Pantyffynnon	5	5	5	Ammanford 12m 36¾ch	10mph	10mph		Applies to Class 66 locomotives only
Western-and-Wales	0795	GW930	Carmarthen Jn to Carmarthen Stn	8	10	10					
