Western-and-Wales	0814	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Western-and-Wales	0814					W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Western-and-Wales	0814	GW910	Craven Arms Jn – Pantyffynnon	Craven Arms Jn	Pantyffynnon	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons at Sugar Loaf Tunnel
Western-and-Wales	0814	GW910	Pantyffynnon – Morlais (former South) Jn	Pantyffynnon	Morlais (former South) Jn	Y	N	N	N	N	N	N	N	
Western-and-Wales	0814	GW910	Morlais (former South) Jn – Llandeilo Jn	Morlais (former South) Jn	Llandeilo Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0814	GW915	Gwaun-cae-Gurwen – Pantyffynnon	Gwaun-cae-Gurwen	Pantyffynnon	Y	N	N	N	N	N	N	N	
Western-and-Wales	0814	GW930	Carmarthen Jn – Carmarthen Station GF	Carmarthen Jn	Carmarthen Station GF	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0814	GW940	Up Sidings No.2 GF – Carmarthen Bridge Jn	Up Sidings No.2 GF	Carmarthen Bridge Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0814	GW950	Whitland – Pembroke Dock	Whitland	Pembroke Dock	Y *	Y	N	N	N	N	N	N	
Western-and-Wales	0814	GW960	Clarbeston Road – Haverfordwest	Clarbeston Road	Haverfordwest	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0814	GW960	Haverfordwest – Herbranston Jn	Haverfordwest	Herbranston Jn	Y	Y	N	N	N	N	N	N	
Western-and-Wales	0814	GW960	Herbranston Jn – Milford Haven	Herbranston Jn	Milford Haven	Y	N	N	N	N	N	N	N	
Western-and-Wales	0814	GW970	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	Gulf Oil Branch Jn	Waterston, Gulf Oil Refinery	Y	Y	N	N	N	N	N	N	
Western-and-Wales	0814	GW980	Herbrandston Jn – Robeston	Herbrandston Jn	Robeston	Y	Y	N	N	N	N	N	N	
