Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-North	0942	NW4001	WCM1	Carlisle – Mossband Jn (Including Kingmoor Yard Goods lines)	0	00	7	57	Y	Y	Y	N	Y	N	R1 R2 R3	R4	R4	R1 5mph Carlisle platform 4 R2 Prohibited Carlisle platform 3 with deflated suspension R3 5mph Carlisle platform 3 R4 Prohibited Carlisle platforms 7 & 8
London-North-Western-North	0942	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0942	NW4001	WCM1	Gretna Jn – Route Boundary (SC001) (Gretna Green)	8	57	12	30	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0942	NW4001	UCJ	Upperby Bridge Jn – Upperby Bridge	67	58	68	23	Y	Y	Y	N	N	N	Y	N	Y	
London-North-Western-North	0942	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0942	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4009	WPS	Poulton – End of line	14	40	18	08	N	N	N	N	N	N	N	N	N	Line out of use from 14m 75ch to the end of the line NC/G1/2001/LNW294
London-North-Western-North	0942	NW4011	MSM	Morecambe South Jn – Morecambe Buffer Stops	0	00	2	12	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4021	UCJ	Bog Jn – Rome St Jn	1	07	1	23	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0942	NW4023	ULR	Upperby Jn – London Rd Jn	0	00	0	34	Y	Y	Y	N	N	N	Y	N	Y	
London-North-Western-North	0942	NW4025	MCG	Currock Jn – Bog Jn	0	00	0	44	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0942	NW4027	BSN	Bruntill Branch Jn – Stainton Jn via Down and Up Brunthill Branch Siding	0	66	0	2	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0942	NW4027	ETC	End of line Buffer Stops – Network Rail Boundary / Brunthill via Down and Up Brunthill line	96	9	95	6	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0942	NW4029	GJH	Mossband Jn – Bush-on-Esk West Jn	3	02	1	06	N	N	Y	N	N	N	N	N	E	
London-North-Western-North	0942	NW4029	GJH	Bush-on-Esk West Jn – Network Rail Boundary	1	06	0	24	N	N	Y	N	N	N	N	N	N	Line out of use
London-North-Western-North	0942	NW4031	GSW	Gretna Jn – Route Boundary (SC031) (Eastriggs)	116	13	115	40	Y	Y	Y	N	N	N	Y	Y	N	
