Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-North	0937	NW1001	LEC5	Crewe South Jn – Crewe North Jn	157	60	158	18	Y	Y	Y	Y	Y	Y	Y	Y	R1	R1 Prohibited Crewe platform 3
London-North-Western-North	0937	NW1001	LEC5	Crewe North Jn – Change of ELR (Between Crewe Coal Yard and Winsford South Jn)	158	18	159	00	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ1	Change of ELR (Between Crewe Coal Yard and Winsford South Jn) – Hartford Jn	159	00	170	56	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ1	Hartford Jn – Change of ELR (Preston Brook Tunnel)	170	56	176	00	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ2	Change of ELR (Preston Brook Tunnel) – Acton Grange Jn	176	00	180	24	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ2	Acton Grange Jn – Warrington South Jn	180	24	181	76	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ3	Warrington South Jn – Winwick Jn	181	76	185	49	Y	Y	Y	N	Y	N	Y	Y	R1	R1 Prohibited Dallam Royal Mail Terminal platform 1, 2, 3 and 4
London-North-Western-North	0937	NW1001	CGJ4	Winwick Jn – Golborne Jn	185	49	187	76	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ5	Golborne Jn – Wigan Station Jn	0	53	6	33	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ5	Wigan Station Jn – Farington Curve Jn	6	33	20	08	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ5	Farington Curve Jn – Preston Ribble Jn	20	08	21	13	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	Y	Y	Y	N	Y	N	R1	Y	R2	R1 Prohibited Preston D&UGL R2 Prohibited Preston Parcels platform
London-North-Western-North	0937	NW1001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	Y	Y	Y	N	Y	N	R1	Y	R2	R1 Prohibited Preston D&UGL R2 Prohibited Preston Parcels platform
London-North-Western-North	0937	NW1001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y	Y	Y	N	Y	N	Y	Y	Y	
London-North-Western-North	0937	NW1002	RBS3	Route Boundary (MD301) (Penkridge Station) – Stafford Trent Valley Jn No.1	23	30	28	50	Y	Y	Y	Y	Y	Y	N	Y	N	
London-North-Western-North	0937	NW1003	HCM2	Buffer Stop (Silverdale Colliery End) – Madeley Chord Jn	3	27	7	36	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0937	NW1003	HCM3	Madeley Chord Jn – Madeley Jn	0	25	0	00	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0937	NW1003	HCM2	Madeley Chord Jn – End of Line	7	36	8	14	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0937	NW1004	RRN2	Route Boundary (MD345) (Cannock Change of ELR) – Rugeley North Jn	14	00	14	69	Y	Y	Y	N	N	N	N	Y	N	
