Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-North	1030	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	8	Y	
London-North-Western-North	1030	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	8	Y	
London-North-Western-North	1030	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	8	Y	
London-North-Western-North	1030	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	8	R1	R1 Prohibited Blackpool North platform 8
London-North-Western-North	1030	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	8	R1	R1 Prohibited from Blackpool South (Down & Up Main line)
London-North-Western-North	1030	NW4009	WPS	Poulton – End of Line	14	40	18	08	8	Y	
London-North-Western-North	1030	NW4011	MSM	Morecambe South Jn – Morecambe Buffer Stops	0	00	2	12	8	R1	R1 Prohibited Bare Lane platform (Down & Up Heysham line)
London-North-Western-North	1030	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	8	Y	
London-North-Western-North	1030	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	8	Y	
London-North-Western-North	1030	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	8	R1	R1 Prohibited Staveley platform (Down & Up Windermere line)
London-North-Western-North	1030	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	8	R1	R1 Prohibited between Upperby Bridge Jn and Upperby Jn on the Up Through Goods line
London-North-Western-North	1030	NW4021	UCJ	Bog Jn – Rome St. Jn	1	07	1	23	8	Y	
London-North-Western-North	1030	NW4023	ULR	Upperby Jn – London Rd. Jn	0	00	0	34	8	Y	
London-North-Western-North	1030	NW4025	MCG/S CG	Currock Jn – Bog Jn	0	00	0	44	8	Y	
London-North-Western-North	1030	NW4027	BSN	Bruntill Branch Jn – Stainton Jn via Down and Up Brunthill Branch Siding	0	66	0	02	8	Y	
London-North-Western-North	1030	NW4027	ETC	End of Line Buffer Stops – Network Rail Boundary / Brunthill via Down and Up Brunthill line	96	09	95	06	8	Y	
London-North-Western-North	1030	NW4029	GJH	Mossband Jn – Bush-on-Esk West Jn	3	02	1	06	8	Y	
London-North-Western-North	1030	NW4029	GJH	Bush-on-Esk West Jn – Network Rail Boundary	1	06	0	24	8	Y	
London-North-Western-North	1030	NW4031	GSW	Gretna Jn – Route Boundary (SC031) (Eastriggs)	116	13	115	40	8	Y	
London-North-Western-North	1030	NW4033	CBC1	Carnforth North Jn – Carnforth Station Jn	0	19	0	38	8	Y	
London-North-Western-North	1030	NW4033	CBC1	Carnforth Station Jn – Limit of Electrification (Carnforth)	0	38	0	60	8	Y	
London-North-Western-North	1030	NW4033	CBC1	Limit of Electrification (Carnforth) – Whitehaven	0	60	74	66	8	R1	R1 Prohibited between Silverdale and Arnside on the Up Main line Prohibited between Ulverston and Dalton on the Up Main line
London-North-Western-North	1030	NW4033	CBC1	Whitehaven – Bransty SB (Change of ELR)	74	66	74	73	7	Y	
London-North-Western-North	1030	NW4033	CBC2	Bransty SB (Change of ELR) – Change of ELR (Maryport)	0	16	12	05	7	R1	R1 Prohibited between Bransty and Parton South Jn on the Down Main line
