London-North-Western-North	0854	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0854	NW5007	MIA	Manchester Airport	Heald Green North Jn	Manchester Airport – Heald Green North Jn	0	00	1	51	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Western-North	0854	NW5008	LEC6	Little Bridgeford Jn	Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	Little Bridgeford Jn – Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	137	42	138	55	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5008	NBS	Searchlight Lane Jn (Change of ELR and mileage)	Stone Jn	Searchlight Lane Jn (Change of ELR and mileage) – Stone Jn	4	06	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5008	NBS1	Norton Bridge Jn	Yamfield Jn (Norton Bridge East Chord)	Norton Bridge Jn – Yamfield Jn (Norton Bridge East Chord)	4	14	2	50	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	CMD2	Colwich Jn	Stone Jn	Colwich Jn – Stone Jn	38	61	27	00	Y	N	N	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	CMD2	Stone Jn	Stoke Jn	Stone Jn – Stoke Jn	27	00	20	36	Y	N	N	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	CMD2	Stoke Jn	Glebe Street Jn	Stoke Jn – Glebe Street Jn	20	36	20	10	Y	N	N	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	CMD2	Glebe Street Jn	Change of ELR	Glebe Street Jn – Change of ELR	20	10	15	65	Y	R1	R1	R1	Y	Y	Y	Y	Y	Y	R1 Prohibited between Glebe Street Jn and Stoke-on-Trent
London-North-Western-North	0854	NW5009	CMD1	Change of ELR	Kidsgrove Jn	Change of ELR – Kidsgrove Jn	16	00	13	68	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	CMD1	Kidsgrove Jn	Macclesfield Hibel Road (Change of ELR )	Kidsgrove Jn – Macclesfield Hibel Road (Change of ELR )	13	68	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5009	MCH	Macclesfield Hibel Road (Change of ELR)	Cheadle Hulme North Jn	Macclesfield Hibel Road (Change of ELR) – Cheadle Hulme North Jn	9	37	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5010	SCQ1	Glebe Street Jn	Change of Mileage	Glebe Street Jn – Change of Mileage	20	08	20	33	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0854	NW5010	SCQ1	Change of Mileage	Change of Mileage (Site of Former Milton Jn)	Change of Mileage – Change of Mileage (Site of Former Milton Jn)	0	00	3	51	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0854	NW5010	SCQ2	Change of Mileage (Site of Former Milton Jn)	Change of Mileage (Site of Former Leek Brook Jn)	Change of Mileage (Site of Former Milton Jn) – Change of Mileage (Site of Former Leek Brook Jn)	0	00	6	65	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0854	NW5010	SCQ3	Change of Mileage (Site of Former Leek Brook Jn)	Caldon Quarry	Change of Mileage (Site of Former Leek Brook Jn) – Caldon Quarry	0	00	8	01	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0854	NW5011	HNS	Heaton Norris Jn	Guide Bridge Station Jn	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Western-North	0854	NW5012	NSS	Route Boundary (LN3505) (North Stafford Jn)	Stoke Jn	Route Boundary (LN3505) (North Stafford Jn) – Stoke Jn	1	40	0	00	Y	N	N	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0854	NW5013	DJO1	Denton Jn	Change of Mileage (Site of Former Crowthorne Jn)	Denton Jn – Change of Mileage (Site of Former Crowthorne Jn)	4	10	5	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Western-North	0854	NW5013	DJO2	Change of Mileage (Site of Former Crowthorne Jn)	Change of Mileage (Site of Former Ashton Moss South Jn)	Change of Mileage (Site of Former Crowthorne Jn) – Change of Mileage (Site of Former Ashton Moss South Jn)	0	53	1	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Western-North	0854	NW5013	AMJ	Change of Mileage (Site of Former Ashton Moss South Jn)	Ashton Moss North Jn	Change of Mileage (Site of Former Ashton Moss South Jn) – Ashton Moss North Jn	0	00	0	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Western-North	0854	NW5015	HAJ	Hadfield	Dinting East Jn	Hadfield – Dinting East Jn	12	61	12	00	Y	Y	Y	Y	Y	Y	Y	Y	N	N
London-North-Western-North	0854	NW5015	HAJ	Dinting East Jn	Dinting West Jn	Dinting East Jn – Dinting West Jn	12	00	11	66	Y	Y	Y	Y	Y	Y	Y	Y	N	N
London-North-Western-North	0854	NW5015	HAJ	Dinting West Jn	Hyde Jn	Dinting West Jn – Hyde Jn	11	66	6	16	Y	Y	Y	Y	Y	Y	Y	Y	N	N
