London-North-Western-North	0909	NW5019	GDW	Dinting South Jn	Dinting West Jn	Dinting South Jn – Dinting West Jn	0	72	1	05	N	N	N	N	N
London-North-Western-North	0909	NW5021	SAJ	Stalybridge Jn	Guide Bridge West Jn	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	N	N	E	N	N
London-North-Western-North	0909	NW6001	COL	Manchester Piccadilly East Jn	Castlefield Jn	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	N	Y	Y	N	N
London-North-Western-North	0909	NW6001	COL	Castlefield Jn	Ordsall Lane Jn	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	N	R1	Y	N	N	R1 20mph on Down and Up lines
London-North-Western-North	0909	NW6001	OLW	Ordsall Lane Jn	Windsor Bridge South Jn	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	N	Y	Y	N	N
London-North-Western-North	0909	NW6001	MVE1	Windsor Bridge South Jn	Windsor Bridge North Jn	Windsor Bridge South Jn – Windsor Bridge North Jn	1	55	1	66	N	Y	Y	N	N
London-North-Western-North	0909	NW6001	MVE1	Windsor Bridge North Jn	Bolton West Jn	Windsor Bridge North Jn – Bolton West Jn	1	66	10	55	N	Y	Y	N	N
London-North-Western-North	0909	NW6001	MVE2	Bolton West Jn	Lostock Jn	Bolton West Jn – Lostock Jn	10	55	13	39	N	Y	Y	N	N
London-North-Western-North	0909	NW6001	MVE2	Lostock Jn	Euxton Jn	Lostock Jn – Euxton Jn	13	39	25	31	N	Y	Y	N	N
London-North-Western-North	0909	NW6003	MAJ	Castlefield Jn	Trafford Park Sidings (Limit of Electrification)	Castlefield Jn – Trafford Park Sidings (Limit of Electrification)	33	57	31	35	N	H	N	N	N
London-North-Western-North	0909	NW6003	MAJ	Trafford Park Sidings (Limit of Electrification)	Hunts Cross	Trafford Park Sidings (Limit of Electrification) – Hunts Cross	31	35	7	07	N	H	N	N	N
London-North-Western-North	0909	NW6003	MAJ	Hunts Cross	Hunts Cross West Jn	Hunts Cross – Hunts Cross West Jn	7	07	6	11	N	H R1	N	R2	R2	R1 Prohibited Hunts Cross Up & Down Electric line R2 Permitted via Up & Down Electric
London-North-Western-North	0909	NW6003	AHX	Hunts Cross West Jn	Allerton Jn	Hunts Cross West Jn – Allerton Jn	0	37	0	00	N	H	E	N	N
London-North-Western-North	0909	NW6004	OCD	Water Street Jn	Irwell Street Jn (Change of Mileage and ELR)	Water Street Jn – Irwell Street Jn (Change of Mileage and ELR)	190	05	190	34	Y	Y	Y	N	N
London-North-Western-North	0909	NW6004	DSE	Irwell Street Jn (Change of Mileage and ELR)	Deal Street Jn (Ordsall Curve lines)	Irwell Street Jn (Change of Mileage and ELR) – Deal Street Jn (Ordsall Curve lines)	30	64	31	18	Y	Y	Y	N	N
London-North-Western-North	0909	NW6005	MVM	Manchester Victoria East Jn	Manchester Victoria	Manchester Victoria East Jn – Manchester Victoria	0	09	0	00	N	H	E	N	N
London-North-Western-North	0909	NW6005	MVE1	Manchester Victoria	Deal Street Jn (Chat Moss lines)	Manchester Victoria – Deal Street Jn (Chat Moss lines)	0	00	0	32	N	H	Y	N	N
London-North-Western-North	0909	NW6005	MVE1	Deal Street Jn	Windsor Bridge South Jn	Deal Street Jn – Windsor Bridge South Jn	0	32	1	55	N	Y	Y	N	N
London-North-Western-North	0909	NW6007	DSE	Deal Street Jn	Ordsall Lane Jn	Deal Street Jn – Ordsall Lane Jn	31	18	30	38	N	H	Y	N	N
London-North-Western-North	0909	NW6009	WBS1	Windsor Bridge North Jn	Crow Nest Jn	Windsor Bridge North Jn – Crow Nest Jn	1	66	14	64	N	N	N	N	N
London-North-Western-North	0909	NW6009	WBS2	Crow Nest Jn	Wigan Station Jn	Crow Nest Jn – Wigan Station Jn	14	64	17	44	N	H	N	N	N
London-North-Western-North	0909	NW6009	WBS2	Wigan Station Jn	Wigan Wallgate Jn	Wigan Station Jn – Wigan Wallgate Jn	17	44	18	04	N	N	N	N	N
London-North-Western-North	0909	NW6009	WBS3	Wigan Wallgate Jn	Southport	Wigan Wallgate Jn – Southport	18	04	35	27	N	N	N	N	N
