London-North-Western-North	0996	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	Gauge of Route	Heavy Axle Weight Vehicles	Notes
London-North-Western-North	0996	NW3021	Frodsham Jn. - Halton Jn.	Frodsham Jn.	Halton Jn.	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW3023	Edgeley Jn. No.2 - Mickle Trafford	Edgeley Jn. No.2	Mickle Trafford	8	R1	Y	R1	Route clear to W6A Ex. (W7) Northenden - Mickle Trafford
London-North-Western-North	0996	NW3025	Skelton Jn. – Partington (Out of use beyond Sidnal DJ7)	Skelton Jn.	Partington (Out of use beyond Sidnal DJ7)	-	/	-
London-North-Western-North	0996	NW3027	Timperley – Altrincham (Metrolink Lines)	Timperley	Altrincham (Metrolink Lines)	8	/	Y
London-North-Western-North	0996	NW3029	Sandbach North. Jn. - Northwich West Jn.	Sandbach North. Jn.	Northwich West Jn.	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW3031	Northwich South Jn. - Northwich Station Jn	Northwich South Jn.	Northwich Station Jn	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW3033	Hartford East Jn. - Hartford North Jn. (East Goods line)	Hartford East Jn.	Hartford North Jn. (East Goods line)	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW3035	Hartford West Jn. - Hartford North Jn. (West Goods line)	Hartford West Jn.	Hartford North Jn. (West Goods line)	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW3037	Hartford C.L.C. Jn. - Hartford Jn.	Hartford C.L.C. Jn.	Hartford Jn.	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW4001	Preston Ribble Jn. - Cove L.C.	Preston Ribble Jn.	Cove L.C.	8	SB1C (W9)	Y
London-North-Western-North	0996	NW4003	Preston Fylde Jn. - Deepdale Jn. (Out of use)	Preston Fylde Jn.	Deepdale Jn. (Out of use)	-	/	-
London-North-Western-North	0996	NW4005	Preston Fylde Jn. - Blackpool North	Preston Fylde Jn.	Blackpool North	8	/	R	R	RA9/10 loaded freight vehicles may also be permitted between Carleton Crossing signal box and Blackpool North station if special dispensation has been granted by the Territory Track Engineer.
London-North-Western-North	0996	NW4007	Kirkham North Jn - Blackpool South	Kirkham North Jn	Blackpool South	8	/	--
London-North-Western-North	0996	NW4009	Poulton - Burn Naze (Out of use beyond 14m 75ch)	Poulton	Burn Naze (Out of use beyond 14m 75ch)	8	/	Y
London-North-Western-North	0996	NW4011	Morecambe South Jn. - Morecambe	Morecambe South Jn.	Morecambe	8	W6A Ex. (W8)	Y
London-North-Western-North	0996	NW4013	Hest Bank - Bare Lane	Hest Bank	Bare Lane	8	W6A Ex. (W8)	Y
London-North-Western-North	0996	NW4017	Morecambe Jn. - Heysham Port	Morecambe Jn.	Heysham Port	8	W6A Ex. (W8)	Y
London-North-Western-North	0996	NW4019	Oxenholme - Windermere	Oxenholme	Windermere	8	/	--
London-North-Western-North	0996	NW4021	Upperby Jn. - Rome St. Jn.	Upperby Jn.	Rome St. Jn.	8	/	Y
London-North-Western-North	0996	NW4023	Upperby Jn. - London Rd. Jn.	Upperby Jn.	London Rd. Jn.	8	W6A Ex. (W7)	Y
London-North-Western-North	0996	NW4025	Currock Jn. - Bog Jn.	Currock Jn.	Bog Jn.	8	/	Y
