London-North-Western-North	0948	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
London-North-Western-North	0948	NW1001	CGJ2	Acton Grange Jn	Warrington South Jn	Acton Grange Jn – Warrington South Jn	180	24	181	76	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ3	Warrington South Jn	Winwick Jn	Warrington South Jn – Winwick Jn	181	76	185	49	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ4	Winwick Jn	Golborne Jn	Winwick Jn – Golborne Jn	185	49	187	76	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ5	Golborne Jn	Wigan Station Jn	Golborne Jn – Wigan Station Jn	0	53	6	33	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ5	Wigan Station Jn	Farington Curve Jn	Wigan Station Jn – Farington Curve Jn	6	33	20	08	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ5	Farington Curve Jn	Preston Ribble Jn	Farington Curve Jn – Preston Ribble Jn	20	08	21	13	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ5	Preston Ribble Jn	Preston (Change of ELR)	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ6	Preston (Change of ELR)	Preston North Jn	Preston (Change of ELR) – Preston North Jn	0	00	0	21	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1001	CGJ6	Preston North Jn	Preston Fylde Jn	Preston North Jn – Preston Fylde Jn	0	21	0	33	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1002	RBS3	Route Boundary (MD301) (Penkridge Station)	Stafford Trent Valley Jn No.1	Route Boundary (MD301) (Penkridge Station) – Stafford Trent Valley Jn No.1	23	30	28	50	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1003	HCM2	Buffer Stop (Silverdale Colliery End)	Madeley Chord Jn	Buffer Stop (Silverdale Colliery End) – Madeley Chord Jn	3	27	7	36	8	Y	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1003	HCM3	Madeley Chord Jn	Madeley Jn	Madeley Chord Jn – Madeley Jn	0	25	0	00	8	Y	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1003	HCM2	Madeley Chord Jn	End of Line	Madeley Chord Jn – End of Line	7	36	8	14	8	Y	N	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1004	RRN2	Route Boundary (MD345) (Cannock Change of ELR)	Rugeley North Jn	Route Boundary (MD345) (Cannock Change of ELR) – Rugeley North Jn	14	00	14	69	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1005	KCS1	Kidsgrove Jn	Crewe South Jn	Kidsgrove Jn – Crewe South Jn	0	00	8	27	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1007	SYC	Route Boundary (GW735) (Crewe Jn)	Limit of Electrification	Route Boundary (GW735) (Crewe Jn) – Limit of Electrification	2	60	1	41	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1007	SYC	Limit of Electrification	Crewe South Jn	Limit of Electrification – Crewe South Jn	1	41	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1009	BHI	Basford Hall Jn	Site of Former Sydney Bridge Jn (Independent Lines)	Basford Hall Jn – Site of Former Sydney Bridge Jn (Independent Lines)	156	16	158	76	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1009	CMP1	Site of Former Sydney Bridge Jn	Sandbach South Jn (Independent Lines)	Site of Former Sydney Bridge Jn – Sandbach South Jn (Independent Lines)	158	76	162	28	8	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Western-North	0948	NW1011	GSG	Gresty Lane Jn	Salop Goods Jn	Gresty Lane Jn – Salop Goods Jn	0	00	0	37	8	Y	Y	Y	Y	Y	Y	Y	Y
