London-North-Western-North	0981	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	Gauge of Route	Heavy Axle Weight Vehicles	Notes	
London-North-Western-North	0981	NW5012	Foley Crossing (excl.) - Stoke Jn.	Foley Crossing (excl.)	Stoke Jn.	8	W6A Ex (W7)	Y		
London-North-Western-North	0981	NW5013	Denton Jn. - Ashton Moss North Jn.	Denton Jn.	Ashton Moss North Jn.	8	W6A Ex. (W7)	Y		
London-North-Western-North	0981	NW5015	Hadfield - Ardwick Jn.	Hadfield	Ardwick Jn.	8	R1	R2	R1 R2	SB1C (W9) Hyde Jn. -Ardwick Jn. HAJ Br.51: RA9/10 vehicles are restricted to 20mph over the bridge (10mch - 10m 20ch); HAJ Br.54: RA9/10 vehicles are restricted to 20mph over the bridge (11m40ch -12m00ch).
London-North-Western-North	0981	NW5017	Dinting South Jn. - Dinting East Jn.	Dinting South Jn.	Dinting East Jn.	8	/	N		
London-North-Western-North	0981	NW5019	Glossop -Dinting West Jn.	Glossop -Dinting West Jn.		8	/	N		
London-North-Western-North	0981	NW5021	Stalybridge - Guide Bridge West Jn.	Stalybridge	Guide Bridge West Jn.	8	SB1C (W9)	R	R	MVL3 Br.1: RA9/10 vehicles are restricted to 10mph over the bridge (7m77ch -8m10ch).
London-North-Western-North	0981	NW6001	Manchester Piccadilly East Jn. - Euxton Jn.	Manchester Piccadilly East Jn.	Euxton Jn.	8	R1 R2	R3	R1 R2 R3	SB1C (W9) Manchester Piccadilly East Jn. - Ordsall Lane Jn. W12 Castlefield Jn – Ordsall Lane Jn RA9/10 vehicles are restricted to 20mph Manchester Piccadilly East Jn. – Castlefield Jn.
London-North-Western-North	0981	NW6003	Castlefield Jn. - Allerton Jn.	Castlefield Jn.	Allerton Jn.	7 R1	SB1C (W9)	R2	R1 R2	This route is RA8 between Castlefield Jn. and Trafford Park West Jn. RA8/9/10 vehicles permitted throughout, Castlefield Jn. to Allerton West Jn., subject to observance of the following restriction: MAJ Br.130 (18m 22ch to 18m 24ch) 10mph over the bridge. Note that RA8 vehicles are not heavy axle weight between Castlefield Jn. and Trafford Park West Jn.
London-North-Western-North	0981	NW6004	Water Street Jn – Irwell Street Jn (Change of Mileage and ELR)	Water Street Jn	Irwell Street Jn (Change of Mileage and ELR)	10	W6A Ex. (W12)	–		
London-North-Western-North	0981	NW6004	Irwell Street Jn (Change of Mileage and ELR) – Deal Street Jn (Ordsall Curve lines)	Irwell Street Jn (Change of Mileage and ELR)	Deal Street Jn (Ordsall Curve lines)	10	W6A Ex. (W12)	–		
London-North-Western-North	0981	NW6005	Manchester Victoria East Jn. - Windsor Bridge South Jn.	Manchester Victoria East Jn.	Windsor Bridge South Jn.	8	R	Y	R	SB1C (W9). Manchester Victoria East Jn. - Deal St.
London-North-Western-North	0981	NW6007	Deal Street Jn. - Ordsall Lane Jn.	Deal Street Jn.	Ordsall Lane Jn.	8	SB1C (W9)	Y		
