Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	323	325	350	Notes
London-North-Western-North	0912	NW3013	HHJ	Ellesmere Port (Limit of DC Electrification) – Helsby Jn	3	44	8	67	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of Line	0	30	27	53	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3019	GLA	Gaerwen – Network Rail Boundary	0	00	17	37	N	N	N	N	N	N	N	Line out of use NC/G1/2008/LNW396
London-North-Western-North	0912	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3023	CDM2	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3025	WJP1	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	N	N	N	N	N	N	N	Line out of use from Signal D.7 to the Network Rail boundary NC/G1/2008/LNW395
London-North-Western-North	0912	NW3027	CDM1	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	N	N	N	N	N	N	N	
London-North-Western-North	0912	NW3027	CDM1	Deansgate Jn – Altrincham	7	05	8	00	N	N	N	N	N	N	N	
London-North-Western-North	0912	NW3029	SNJ	Sandbach North Jn – Northwich West Jn	0	00	8	64	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3031	NSN	Northwich South Jn – Northwich Station Jn	8	37	8	66	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW3033	HEG	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	N	N	N	N	N	N	N	
London-North-Western-North	0912	NW3035	HWG	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	N	N	N	N	N	N	N	
London-North-Western-North	0912	NW3037	HCN	Hartford CLC Jn – Hartford Jn	0	72	0	16	EH	N	N	N	N	H	N	
London-North-Western-North	0912	NW4001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	Y	Y	E	E	N	Y	Y	
London-North-Western-North	0912	NW4001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	Y	Y	E	E	N	Y	Y	
London-North-Western-North	0912	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y	Y	E	E	N	Y	Y	
London-North-Western-North	0912	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	Y	R1	E	E	N	Y	Y	R1 Prohibited Lancaster bay platforms 1 & 2
London-North-Western-North	0912	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	Y	R1	E	E	N	Y	R1	R1 Prohibited Lancaster bay platforms 1 and 2
