London-North-Western-North	0908	NW3023	CDM2	Change of ELR (Altrincham)	Mickle Trafford Jn	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	Y	Y	Y	N	N	N	Y	R1	N	R1 Permitted Northwich West Jn – Hartford CLC Jn only
London-North-Western-North	0908	NW3025	WJP1	Skelton Jn	Partington Jn Network Rail Boundary	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	R1	R1	N	N	N	N	N	N	N	R1 Line out of use from Signal D.7 to the Network Rail boundary NC/G1/2008/LNW395
London-North-Western-North	0908	NW3027	CDM1	Network Rail Boundary (Metrolink)	Deansgate Jn	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	N	N	N	N	N	N	N	N	N
London-North-Western-North	0908	NW3027	CDM1	Deansgate Jn	Altrincham	Deansgate Jn – Altrincham	7	05	8	00	N	N	N	N	N	N	N	N	N
London-North-Western-North	0908	NW3029	SNJ	Sandbach North Jn	Northwich West Jn	Sandbach North Jn – Northwich West Jn	0	00	8	64	Y	Y	Y	N	N	N	Y	Y	N
London-North-Western-North	0908	NW3031	NSN	Northwich South Jn	Northwich Station Jn	Northwich South Jn – Northwich Station Jn	8	37	8	66	Y	Y	Y	N	N	N	Y	N	N
London-North-Western-North	0908	NW3033	HEG	Hartford East Jn	Hartford North Jn (East Goods line)	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	N	N	N	N	N	N	N	N	N
London-North-Western-North	0908	NW3035	HWG	Hartford West Jn	Hartford North Jn (West Goods line)	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	N	N	N	N	N	N	N	N	N
London-North-Western-North	0908	NW3037	HCN	Hartford CLC Jn	Hartford Jn	Hartford CLC Jn – Hartford Jn	0	72	0	16	Y	Y	Y	N	N	N	Y	Y	N
London-North-Western-North	0908	NW4001	CGJ5	Preston Ribble Jn	Preston (Change of ELR)	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	Y	Y	R1	N	Y	N	R2	Y	R3	R2 Preston D&UGL ECS only R3 Prohibited Preston D&UGL R4 Prohibited Preston Parcels platform
London-North-Western-North	0908	NW4001	CGJ6	Preston (Change of ELR)	Preston North Jn	Preston (Change of ELR) – Preston North Jn	0	00	0	21	Y	Y	R1	N	Y	N	R2	Y	R3	R3 Preston D&UGL ECS only R4 Prohibited Preston D&UGL R5 Prohibited Preston Parcels platform
London-North-Western-North	0908	NW4001	CGJ6	Preston North Jn	Preston Fylde Jn	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y	Y	Y	N	Y	N	Y	Y	Y
London-North-Western-North	0908	NW4001	CGJ6	Preston Fylde Jn	Lancaster	Preston Fylde Jn – Lancaster	0	33	20	78	Y	Y	Y	N	Y	N	Y	Y	R1	R1 Prohibited Lancaster platform 1
London-North-Western-North	0908	NW4001	CGJ7	Lancaster	Carnforth North Jn	Lancaster – Carnforth North Jn	0	00	6	08	Y	Y	Y	N	Y	N	Y	Y	R1	R1 Prohibited Lancaster platform 1
London-North-Western-North	0908	NW4001	CGJ7	Carnforth North Jn	Oxenholme	Carnforth North Jn – Oxenholme	6	08	19	11	Y	Y	Y	N	Y	N	Y	Y	Y
London-North-Western-North	0908	NW4001	CGJ7	Oxenholme	Upperby Jn	Oxenholme – Upperby Jn	19	11	68	23	Y	Y	Y	N	Y	N	Y	Y	Y
London-North-Western-North	0908	NW4001	CGJ7	Upperby Jn	Carlisle	Upperby Jn – Carlisle	68	23	69	09	Y	Y	Y	N	Y	N	R1 R2 R3	Y	R4	R3 5mph Carlisle platform 4 R4 Prohibited Carlisle platform 3 with deflated suspension R5 5mph Carlisle platform 3 R6 Prohibited Carlisle platform 2
