Anglia	0418	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Anglia	0418	EA1011	LTN1	Shenfield Jn	Witham Jn	Shenfield Jn – Witham Jn	20	22	38	55	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1011	LTN1	Witham Jn	Marks Tey Jn	Witham Jn – Marks Tey Jn	38	55	46	49	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1011	LTN1	Marks Tey Jn	Colchester Jn	Marks Tey Jn – Colchester Jn	46	49	51	65	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1011	LTN1	Colchester Jn	Manningtree South Jn	Colchester Jn – Manningtree South Jn	51	65	59	46	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1011	LTN1	Manningtree South Jn	Manningtree North Jn	Manningtree South Jn – Manningtree North Jn	59	46	59	69	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1011	LTN1	Manningtree North Jn	Ipswich	Manningtree North Jn – Ipswich	59	69	68	59	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1012	LTN1	Ipswich	East Suffolk Jn	Ipswich – East Suffolk Jn	68	59	69	41	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1012	LTN1	East Suffolk Jn	Trowse Jn (EA1013)	East Suffolk Jn – Trowse Jn (EA1013)	69	41	113	68	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1013	LTN2	Trowse Jn	Trowse Swing Bridge	Trowse Jn – Trowse Swing Bridge	123	00	123	37	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1013	NCW	Trowse Swing Bridge	Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	Trowse Swing Bridge – Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	0	00	0	28	Y	Y	Y	N	N	R1	N	R1 Prohibited from using the last 25 metres at the buffer stop end of Norwich Royal Dock Siding 1
Anglia	0418	EA1013	LTN2	Trowse Swing Bridge	Norwich	Trowse Swing Bridge – Norwich	123	37	124	09	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1020	CNS	Carpenters Rd South Jn	Carpenters Rd North Jn	Carpenters Rd South Jn – Carpenters Rd North Jn	1	12	0	70	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1030	FGW	Forest Gate Jn	Woodgrange Park Jn	Forest Gate Jn – Woodgrange Park Jn	0	00	0	31	Y	Y	N	N	N	N	N
Anglia	0418	EA1040	ROU	Romford	Upminster	Romford – Upminster	0	00	3	30	Y	Y	N	N	N	N	N
Anglia	0418	EA1050	SSV	Shenfield Jn	Southend Victoria	Shenfield Jn – Southend Victoria	20	22	41	42	Y	Y	N	N	N	N	N
Anglia	0418	EA1060	WIS	Wickford Jn	Southminster	Wickford Jn – Southminster	29	13	45	42	Y	Y	N	N	N	N	N
Anglia	0418	EA1070	BRA	Witham	Braintree	Witham – Braintree	24	15	17	71	Y	Y	N	N	N	N	N
Anglia	0418	EA1080	SUD	Marks Tey Jn	Sudbury	Marks Tey Jn – Sudbury	45	53	58	32	Y	Y	N	N	N	N	N
Anglia	0418	EA1090	COC	Colchester Jn	Clacton	Colchester Jn – Clacton	52	28	69	56	Y	Y	N	N	N	N	N
Anglia	0418	EA1100	STB	East Gate Jn	Colne Jn	East Gate Jn – Colne Jn	53	14	53	30	Y	Y	N	N	N	N	N
Anglia	0418	EA1100	CTH	Hythe Jn	Colne Jn	Hythe Jn – Colne Jn	0	22	0	00	Y	Y	N	N	N	N	N
Anglia	0418	EA1100	STB	Colne Jn	Colchester Town	Colne Jn – Colchester Town	53	30	53	76	Y	Y	N	N	N	N	N
Anglia	0418	EA1110	TWN	Thorpe-Le-Soken Jn	Walton-On-Naze	Thorpe-Le-Soken Jn – Walton-On-Naze	65	19	70	15	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1120	MAH	Manningtree South Jn	Manningtree East Jn	Manningtree South Jn – Manningtree East Jn	59	35	59	67	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1120	NTE	Manningtree North Jn	Manningtree East Jn	Manningtree North Jn – Manningtree East Jn	0	00	0	24	Y	Y	Y	N	N	Y	N
Anglia	0418	EA1120	MAH	Manningtree East Jn	Harwich International Port	Manningtree East Jn – Harwich International Port	59	67	68	72	Y	Y	Y	N	N	Y	N
