Kent-Sussex-Wessex	0980	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Kent-Sussex-Wessex	0980	SO130	XTD	Hither Green Jn	Lee Spur Jn	Hither Green Jn – Lee Spur Jn	7	04	7	44	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	XTD	Lee Spur Jn	Chislehurst Jn	Lee Spur Jn – Chislehurst Jn	7	44	11	33	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	CSM1	Chislehurst Jn	St Mary Cray Down Jn via Reversible Chatham Loop	Chislehurst Jn – St Mary Cray Down Jn via Reversible Chatham Loop	11	33	11	71	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	CSM3	Chislehurst Jn	Hawkwood Jn (Up Chatham Loop)	Chislehurst Jn – Hawkwood Jn (Up Chatham Loop)	11	33	11	66	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	XTD	Chislehurst Jn	Petts Wood Jns	Chislehurst Jn – Petts Wood Jns	11	33	12	27	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	XTD	Petts Wood Jns	Sevenoaks Substation	Petts Wood Jns – Sevenoaks Substation	12	27	21	74	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Sevenoaks Substation	Tonbridge West Jn	Sevenoaks Substation – Tonbridge West Jn	21	74	29	35	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Tonbridge West Jn	Tonbridge East Jn	Tonbridge West Jn – Tonbridge East Jn	29	35	29	55	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Tonbridge East Jn	Paddock Wood	Tonbridge East Jn – Paddock Wood	29	55	34	67	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Paddock Wood	Ashford (Jn with Maidstone line)	Paddock Wood – Ashford (Jn with Maidstone line)	34	67	55	54	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Ashford (Jn with Maidstone line)	Ashford Station	Ashford (Jn with Maidstone line) – Ashford Station	55	54	56	09	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Ashford Station	Ashford (Jn with Hastings line)	Ashford Station – Ashford (Jn with Hastings line)	56	09	56	20	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Ashford (Jn with Hastings line)	Ashford (Jn with Canterbury Line)	Ashford (Jn with Hastings line) – Ashford (Jn with Canterbury Line)	56	20	56	35	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Ashford (Jn with Canterbury Line)	Saltwood Jn	Ashford (Jn with Canterbury Line) – Saltwood Jn	56	35	66	38	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO130	XTD	Saltwood Jn	Folkestone Central	Saltwood Jn – Folkestone Central	66	38	69	73	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO130	XTD	Folkestone Central	Folkestone East Staff Halt	Folkestone Central – Folkestone East Staff Halt	69	73	70	73	4	N	N	N	N	N	N
Kent-Sussex-Wessex	0980	SO130	XTD	Folkestone East Staff Halt	Dover Substation	Folkestone East Staff Halt – Dover Substation	70	73	76	45	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO140	SBJ	Swanley Jn (SO110)	Otford Jn	Swanley Jn (SO110) – Otford Jn	17	46	24	53	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO140	OJS	Otford Jn	Sevenoaks Jn	Otford Jn – Sevenoaks Jn	24	53	26	58	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO140	SBJ	Otford Jn	Jn with Maidstone line	Otford Jn – Jn with Maidstone line	24	53	58	61	8	N	N	Y	N	N	Y
Kent-Sussex-Wessex	0980	SO150	WMS	Western Jn (SO110)	Middle Jn	Western Jn (SO110) – Middle Jn	43	70	44	13	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO150	SEJ1	Eastern Jn (SO110)	Middle Jn	Eastern Jn (SO110) – Middle Jn	0	00	0	23	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO150	SEJ2	Middle Jn	Sheerness on Sea	Middle Jn – Sheerness on Sea	44	13	51	19	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO160	FDM	Faversham Jn (SO110)	Buckland Jn	Faversham Jn (SO110) – Buckland Jn	52	13	76	32	8	N	N	Y	N	N	N
Kent-Sussex-Wessex	0980	SO160	FDM	Buckland Jn	Change of mileage	Buckland Jn – Change of mileage	76	32	77	76	8	N	N	Y	N	N	N
