Kent-Sussex-Wessex	0939	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0939	SO130	XTD	Borough Market Jn	London Bridge platforms 1-9	Borough Market Jn – London Bridge platforms 1-9	01	50	01	69	8 R1	R2 R3	R2 R3	R2 R3	R2 R3	R2 R3	R2 R3	R2 R3	R1 RA4 Down & Up Cannon Street Reversible and Down Snow Hill lines NC/G1/2010/ICP-RA/SO001V2 until 01 March 2021 R2 15mph on the Up & Down Cannon Street lines NC/G1/2010/ICP-RA/SO001V2 until 01 March 2021 R3 OPPOS applies over bridge 54 (1m 60ch) on the Up and Down Cannon Street lines
Kent-Sussex-Wessex	0939	SO130	XTD	London Bridge platforms 1-9	North Kent East Jn	London Bridge platforms 1-9 – North Kent East Jn	1	69	4	25	8 R1	R2	R2	R2	R2	R2	R2	R2	R1 RA4 Down and Reversible lines (04m 14ch to 04m 18ch) RA8 = All other lines NC/G1/2010/ICP-RA/SO001V1 until 01 March 2021 R2 15mph only Down and Reversible lines (04m 14ch to 04m 18ch) NC/G1/2010/ICP-RA/SO001V1 until 01 March 2021
Kent-Sussex-Wessex	0939	SO130	XTD	North Kent East Jn	Tanners Hill Jn	North Kent East Jn – Tanners Hill Jn	4	25	5	29	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Tanners Hill Jn	Parks Bridge Jn	Tanners Hill Jn – Parks Bridge Jn	5	29	6	14	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	LLL	Parks Bridge Jn	Ladywell Jn	Parks Bridge Jn – Ladywell Jn	6	14	6	29	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Parks Bridge Jn	Courthill Loop South Jn	Parks Bridge Jn – Courthill Loop South Jn	6	14	6	21	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Courthill Loop South Jn	Hither Green Jn	Courthill Loop South Jn – Hither Green Jn	6	21	7	04	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Hither Green Jn	Lee Spur Jn	Hither Green Jn – Lee Spur Jn	7	04	7	44	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Lee Spur Jn	Chislehurst Jn	Lee Spur Jn – Chislehurst Jn	7	44	11	33	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	CSM1	Chislehurst Jn	St Mary Cray Down Jn via Reversible Chatham Loop	Chislehurst Jn – St Mary Cray Down Jn via Reversible Chatham Loop	11	33	11	71	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	CSM3	Chislehurst Jn	Hawkwood Jn (Up Chatham Loop)	Chislehurst Jn – Hawkwood Jn (Up Chatham Loop)	11	33	11	66	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Chislehurst Jn	Petts Wood Jns	Chislehurst Jn – Petts Wood Jns	11	33	12	27	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Petts Wood Jns	Sevenoaks Substation	Petts Wood Jns – Sevenoaks Substation	12	27	21	74	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Sevenoaks Substation	Tonbridge West Jn	Sevenoaks Substation – Tonbridge West Jn	21	74	29	35	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Tonbridge West Jn	Tonbridge East Jn	Tonbridge West Jn – Tonbridge East Jn	29	35	29	55	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Tonbridge East Jn	Paddock Wood	Tonbridge East Jn – Paddock Wood	29	55	34	67	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0939	SO130	XTD	Paddock Wood	Ashford (Jn with Maidstone line)	Paddock Wood – Ashford (Jn with Maidstone line)	34	67	55	54	8	Y	Y	Y	Y	Y	Y	Y
