Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	325	377	380	387	390	700	Notes
London-North-Eastern	1144	LN3525	KSL	Knighton Jn – Leicester Jn	97	45	127	00	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3535	BCJ	Birmingham Curve Jn – Branston Jn	126	40	127	19	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3601	GSM1	Kettering North Jn – Manton Jn	74	00	90	25	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3605	BSC	Corby BSC Works – Corby North	2	05	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1144	LN3610	BSC	Corby Automotive Terminal – Corby North	1	10	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1144	LN3615	PMJ	Route Boundary (LN147) – Uffington SB	13	60	12	75	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3615	PMJ	Uffington SB – Manton Jn	12	75	0	00	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3615	GSM2	Manton Jn – Melton Jn	90	25	105	70	N	N	N	N	H	N	N	N	EH R1	N	R1 45mph over bridge 23 Leicester Road on the Down Line at 105m 65ch
London-North-Eastern	1144	LN3615	GSM3	Melton Jn – Syston South Jn	113	36	103	77	N	N	N	N	H	N	N	N	EH R1 R2	N	R1 25mph over bridge 15 Kirkby Road on the Up Line at 111m 63ch R2 55mph over bridge 19 Copley's Occupation on the Up Line at 112m 56ch
London-North-Eastern	1144	LN3620	GSM4	Melton Jn GF – Asfordby	105	70	107	20	N	N	N	N	N	N	N	N	EH	N	
London-North-Eastern	1144	LN3625	TSN1	Nottingham East Jn – Change of ELR (Nottingham East Jn)	123	27	123	23	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3625	NOB1	Change of ELR (Nottingham East Jn) – Route Boundary (LN206) (Coulson)	0	00	16	02	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3635	NOG1	Route Boundary (LN195) (Nottingham Branch Jn) – Rectory Jn SB	111	60	123	76	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3635	NOG1	Rectory Jn SB – Change of ELR (Netherfield)	123	76	125	25	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1144	LN3635	NOG2	Change of ELR (Netherfield) – Netherfield Jn	2	54	2	35	N	N	N	N	H	N	N	N	N	N	
