London-North-Eastern	1037	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1037	LN618	HOS	Holgate Jn	Skelton Jn via York Yard South	Holgate Jn – Skelton Jn via York Yard South	0	00	1	54	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN620	KEB	King Edward Bridge East Jn	King Edward Bridge North Jn (East Curve)	King Edward Bridge East Jn – King Edward Bridge North Jn (East Curve)	0	00	0	13	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN622	NEN1	Newcastle Forth Jn	Forth Banks	Newcastle Forth Jn – Forth Banks	0	11	0	73	Y	Y	Y	Y	Y	Y	Y	Y	N
London-North-Eastern	1037	LN624	REB4	Northallerton Castle Hills Jn	Network Rail Boundary (Wensleydale Railway)	Northallerton Castle Hills Jn – Network Rail Boundary (Wensleydale Railway)	0	04	0	18	N	N	N	N	N	N	N	N	N
London-North-Eastern	1037	LN626	LEN2	Northallerton High Jn	Northallerton East Jn	Northallerton High Jn – Northallerton East Jn	0	00	0	36	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LLP1	Longlands Jn (Down Line)	Boroughbridge Road LC	Longlands Jn (Down Line) – Boroughbridge Road LC	28	58	29	72	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LLP3	Longlands Jn (Up Line)	Boroughbridge Road LC	Longlands Jn (Up Line) – Boroughbridge Road LC	0	69	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LLP2	Boroughbridge Road LC	Northallerton East Jn	Boroughbridge Road LC – Northallerton East Jn	42	21	42	79	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Northallerton East Jn	Billingham Jn	Northallerton East Jn – Billingham Jn	42	79	63	69	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Billingham Jn	Ryhope Grange Jn	Billingham Jn – Ryhope Grange Jn	63	69	87	63	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Ryhope Grange Jn	Sunderland South Jn	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Sunderland South Jn	Boldon East Jn	Sunderland South Jn – Boldon East Jn	89	56	94	63	Y	Y	Y	N	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Boldon East Jn	Boldon West Jn	Boldon East Jn – Boldon West Jn	94	63	95	16	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Boldon West Jn	Pelaw Metro Jn	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Pelaw Metro Jn	Park Lane Jn	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	Park Lane Jn	High Level Bridge Jn	Park Lane Jn – High Level Bridge Jn	100	65	101	33	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN627	LEN3	High Level Bridge Jn	Newcastle East Jn	High Level Bridge Jn – Newcastle East Jn	101	33	101	59	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1037	LN628	NEK	South Hylton	Sunderland South Jn	South Hylton – Sunderland South Jn	3	20	0	00	N	N	N	Y	N	N	N	N	N
London-North-Eastern	1037	LN629	PDL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	98	01	N	N	N	N	N	N	N	N	N
London-North-Eastern	1037	LN630	PUL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	97	77	N	N	N	N	N	N	N	N	N
London-North-Eastern	1037	LN631	DSN1	Darlington South Jn	Eaglescliffe South Jn	Darlington South Jn – Eaglescliffe South Jn	0	29	8	58	R1	Y	Y	Y	Y	Y	Y	Y	Y	R1 Drivers of Down passenger trains stopping at Allens West must bring the train to a stand 1 car length in rear of UN23 signal
London-North-Eastern	1037	LN632	DSN2	Stockton Cut Jn	Redcar Change of Mileage	Stockton Cut Jn – Redcar Change of Mileage	10	13	21	72	Y	Y	Y	Y	Y	Y	Y	Y	Y
