Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	365	377	378	387	Notes
London-North-Eastern	1112	LN778	BOC1	Seymour Jn – Bolsover	7	51	5	21	N	N	N	N	N	N	N	N	N	Line out of use between Site of former Markham Colliery Jn and Bolsover NC/G1/2010/LNE/020V
London-North-Eastern	1112	LN782	SHW	Woodend Jn – Shireoaks West Jn	153	71	154	36	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN784	HIM	High Marnham – Thoresby Colliery Jn	27	48	17	16	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN784	HIM	Thoresby Colliery Jn – Warsop Jn	17	16	10	59	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN784	HIM	Warsop Jn – Shirebrook South Jn	10	59	10	19	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN784	HIM	Shirebrook South Jn – Shirebrook East Jn	10	19	9	72	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN786	BEC	Boughton Jn – Network Rail Boundary (Bevercotes Colliery)	0	00	4	22	N	N	N	N	N	N	N	N	N	Line out of use from 01m 0ch to Network Rail Boundary (Bevercotes Colliery) LN213/PJ1037
London-North-Eastern	1112	LN788	TYC	Thoresby Colliery Jn – Thoresby Colliery	0	00	0	42	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN802	WKC	Welbeck Colliery Jn – Network Rail Boundary (RJB)	0	00	2	63	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC1	Route Boundary (LN3201) (Tapton Jn) – Dore South Jn	146	64	153	71	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC1	Dore South Jn – Sheffield Station	153	71	158	40	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC1	Sheffield Station – Nunnery Main Line Jn	158	40	158	77	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC1	Nunnery Main Line Jn – Site of former Grimesthorpe Jn	158	77	160	47	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC2	Site of former Grimesthorpe Jn – Site of Masborough South Jn	160	47	163	74	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	TJC3	Site of former Masborough South Jn – Swinton Jn South	161	77	166	56	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	SMJ1	Swinton Jn South – Swinton Jn North	166	56	167	03	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	SMJ1	Swinton Jn North – Site of former Wath Curve Jn	167	03	168	64	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	SMJ2	Site of former Wath Curve Jn – Ferrybridge South Jn	17	15	2	38	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	SMJ2	Ferrybridge South Jn – Site of former Burton Salmon Jn	2	38	0	00	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	SMJ3	Site of former Burton Salmon Jn – Milford Jn	16	69	15	07	H	N	N	N	N	N	N	N	N	
London-North-Eastern	1112	LN804	MGW	Milford Jn – Gascoigne Wood SB	7	65	6	27	H	N	N	N	N	N	N	N	N	
