London-North-Eastern	1050	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	313	314	315	317	318	319	321	322	325
London-North-Eastern	1050	LN774	BAC3	Seymour Jn SB	Oxcroft Disposal Point	Seymour Jn SB – Oxcroft Disposal Point	155	06	0	78	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN776	HLF1	Hall Lane Jn	Change of ELR	Hall Lane Jn – Change of ELR	0	44	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN776	HLF2	Change of ELR	Foxlow Jn	Change of ELR – Foxlow Jn	150	47	150	64	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN778	BOC1	Seymour Jn	Bolsover	Seymour Jn – Bolsover	7	51	5	21	N	N	N	N	N	N	N	N	Line out of use between Site of former Markham Colliery Jn and Bolsover NC/G1/2010/LNE/020V
London-North-Eastern	1050	LN782	SHW	Woodend Jn	Shireoaks West Jn	Woodend Jn – Shireoaks West Jn	153	71	154	36	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN784	HIM	High Marnham	Thoresby Colliery Jn	High Marnham – Thoresby Colliery Jn	27	48	17	16	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN784	HIM	Thoresby Colliery Jn	Warsop Jn	Thoresby Colliery Jn – Warsop Jn	17	16	10	59	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN784	HIM	Warsop Jn	Shirebrook South Jn	Warsop Jn – Shirebrook South Jn	10	59	10	19	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN784	HIM	Shirebrook South Jn	Shirebrook East Jn	Shirebrook South Jn – Shirebrook East Jn	10	19	9	72	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN786	BEC	Boughton Jn	Network Rail Boundary (Bevercotes Colliery)	Boughton Jn – Network Rail Boundary (Bevercotes Colliery)	0	00	4	22	N	N	N	N	N	N	N	N	Line out of use from 01m 0ch to Network Rail Boundary (Bevercotes Colliery) LN213/PJ1037
London-North-Eastern	1050	LN788	TYC	Thoresby Colliery Jn	Thoresby Colliery	Thoresby Colliery Jn – Thoresby Colliery	0	00	0	42	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN802	WKC	Welbeck Colliery Jn	Network Rail Boundary (RJB)	Welbeck Colliery Jn – Network Rail Boundary (RJB)	0	00	2	63	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC1	Route Boundary (LN3201) (Tapton Jn)	Dore South Jn	Route Boundary (LN3201) (Tapton Jn) – Dore South Jn	146	64	153	71	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC1	Dore South Jn	Sheffield Station	Dore South Jn – Sheffield Station	153	71	158	40	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC1	Sheffield Station	Nunnery Main Line Jn	Sheffield Station – Nunnery Main Line Jn	158	40	158	77	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC1	Nunnery Main Line Jn	Site of former Grimesthorpe Jn	Nunnery Main Line Jn – Site of former Grimesthorpe Jn	158	77	160	47	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC2	Site of former Grimesthorpe Jn	Site of Masborough South Jn	Site of former Grimesthorpe Jn – Site of Masborough South Jn	160	47	163	74	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	TJC3	Site of former Masborough South Jn	Swinton Jn South	Site of former Masborough South Jn – Swinton Jn South	161	77	166	56	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	SMJ1	Swinton Jn South	Swinton Jn North	Swinton Jn South – Swinton Jn North	166	56	167	03	N	N	N	N	N	N	N	N	
London-North-Eastern	1050	LN804	SMJ1	Swinton Jn North	Site of former Wath Curve Jn	Swinton Jn North – Site of former Wath Curve Jn	167	03	168	64	N	N	N	N	N	N	N	N	
