Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1117	LN740	BRI2	Immingham East Jn – Humber Road Jn	106	31	104	05	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN741	HAU	Habrough – Ulceby South Jn	0	32	1	45	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN742	KIL2	Killingholme – Immingham West Change of Mileage	2	70	0	00	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN742	KIL1	Immingham West Change of Mileage – Humber Rd Jn	105	10	104	05	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN742	BRI2	Humber Rd Jn – Ulceby North Jn	104	05	100	44	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN742	BRI1	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	H R1	N	N	N	N	N	N	N	N	N	R1 Prohibited between Ulceby South Jn and Brocklesby West Jn
London-North-Eastern	1117	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN746	TYB1	Cottam Power Station – Clarborough Jn	71	79	68	32	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN748	WHR	Retford Western Jn – Thrumpton West Jn	64	29	63	28	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN752	DOW	Wrawby Jn – Marshgate Jn	33	34	0	03	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN756	NOP1	Scunthorpe Trent Jn – Site of former Dawes Lane Jn	0	00	0	28	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN756	NOP2	Site of former Dawes Lane Jn – NR Boundary (Roxby)	0	25	3	60	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN758	BKS	St Catherines Jn – Low Ellers Curve Jn	15	17	15	55	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN760	HAC	Firbeck Jn – Harworth Colliery	11	20	14	21	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN762	YDS	St Catherines Jn – Decoy South Jn (St Catherines Curve)	15	17	15	71	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN764	UDS	Low Ellers Curve Jn – Potteric Carr Jn	15	55	16	56	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN766	HJB	Bentley Jn – Hexthorpe Jn (Doncaster Avoiding Line)	3	24	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN768	PSE	Route Boundary (LN3273) (Mansfield) – Shireoaks East Jn	143	00	154	30	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1117	LN772	SWP	Warsop Jn – Shirebrook Jn	0	00	0	45	N	N	N	N	N	N	N	N	N	N	
