Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	Notes
London-North-Eastern	1105	LN882	WAG2	Engine Shed Jn – Goole Potters Grange Jn	0	64	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN884	OAJ	Oakenshaw South Jn – Oakenshaw Jn.	49	41	48	76	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN886	TJC3	Monk Bretton – Oakenshaw South Jn	176	22	181	75	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN886	OSC	Oakenshaw South Jn – Crofton East Jn	181	75	183	04	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN888	CJS	Stainforth Jn – Thorpe Marsh Jn	166	70	163	76	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN888	HTM	Thorpe Marsh Jn – Haywood Jn	69	56	67	66	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN888	KWS	Haywood Jn – Knottingley West Jn	67	66	58	20	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN888	FKW	Knottingley West Jn – Ferrybridge North Jn	2	71	2	27	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN889	KWS	Shaftholme Jn – Haywood Jn	68	75	67	66	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN892	PEF	Pontefract East Jn – Ferrybridge South Jn	3	06	2	38	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN894	KES	Knottingley South Jn – Knottingley East Jn	0	00	0	20	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN896	DRA1	Drax Branch Jn – Drax Power Station (NR Boundary)	0	00	4	16	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL4	Neville Hill East Jn – Micklefield Jn	18	25	10	63	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL4	Micklefield Jn – Micklefield Change of ELR	10	63	10	60	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL3	Micklefield Change of ELR – Gascoigne Wood Jn	10	60	6	27	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL3	Gascoigne Wood Jn – Selby West Jn	6	27	0	36	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL3	Selby West Jn – Selby South Jn	0	36	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL2	Selby South Jn – Site of former Barlby Jn	31	12	30	40	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL1	Site of former Barlby Jn – Anlaby Road Jn	30	40	0	73	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN898	HUL1	Anlaby Road Jn – Hull	0	73	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1105	LN900	HUE	Neville Hill West Jn – Hunslet East	0	00	0	55	N	N	N	N	N	N	N	N	
