Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Eastern	1259	LN682	Norwood Jn – Carlisle South Jn	S1 *	S2	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons S2 The following combinations are permitted: 2438 h x 2438 w box on FEA wagons All lines 2667 h x 2500 w box on FKA wagons All Lines 2665 h x 2550 w (S21) on FKA wagons Up Line 2675 h x 2550 w box on KFA wagons Up Line
London-North-Eastern	1259	LN682	Carlisle South Jn – Carlisle North Jn	Y	Y	Y	Y	N	Y	N	N	
London-North-Eastern	1259	LN684	Low Fell Jn – Norwood Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN694	Benton North Jn – Morpeth North Jn via Bedlington	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN696	Hepscott Jn – Morpeth Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN700	Butterwell North Branch	Y	N	N	N	N	N	N	N	
London-North-Eastern	1259	LN702	Bedlington North – Lynemouth Alcan	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN704	Bates Branch	-	-	-	-	-	-	-	-	Line 'Out of Use'
London-North-Eastern	1259	LN706	West Sleekburn Jn – North Blyth	Y	N	N	N	N	N	N	N	
London-North-Eastern	1259	LN708	Winning Jn – Marchey's House Jn	Y	N	N	N	N	N	N	N	
London-North-Eastern	1259	LN736	Cleethorpes – Grimsby Docks	Y	N	N	N	N	N	N	N	
London-North-Eastern	1259	LN736	Grimsby Docks – Marsh Jn	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1259	LN736	Marsh Jn – Wrawby Jn	Y	Y	Y	N	N	R1	N	R1	R1 W10 & W12 Clearance between Brocklesby East & West Jn – Wrawby Jn Only
London-North-Eastern	1259	LN736	Wrawby Jn – West Burton East Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN736	West Burton East Jn – Thrumpton West Jn	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1259	LN736	Thrumpton West Jn – Manton Colliery Jn	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1259	LN736	Manton Colliery Jn – Branclliffe East Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN736	Brancliffe East Jn – Woodburn Jn	Y	N	N	N	N	N	N	N	
London-North-Eastern	1259	LN736	Nunnery Curve	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1259	LN736	Nunnery Main Line Jn – Nunnery Jn	Y	Y	Y	Y	Y	Y	Y	Y	
