Scotland	1022	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
Scotland	1022	SC147	ECN2	Haymarket Central Jn	Haymarket West Jn (North Lines)	Haymarket Central Jn – Haymarket West Jn (North Lines)	1	66	2	41	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1022	SC149	NBK	North Berwick	Drem Jn	North Berwick – Drem Jn	22	22	18	15	Y	Y	Y	N	N	N	N	N	N	
Scotland	1022	SC151	LHS1	Portobello	Leith South Yard (Goods Line)	Portobello – Leith South Yard (Goods Line)	0	00	2	20	N	N	N	N	N	N	N	N	N	
Scotland	1022	SC153	CPH	Craigentinny	Powderhall (Goods Line)	Craigentinny – Powderhall (Goods Line)	0	00	1	78	N	N	N	N	N	N	N	N	N	
Scotland	1022	SC155	MHL1	Monktonhall Jn	Change of ELR	Monktonhall Jn – Change of ELR	0	11	5	60	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC155	MHL2	Change of ELR	Millerhill East Jn	Change of ELR – Millerhill East Jn	1	40	0	28	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC155	MHL3	Millerhill East Jn	Millerhill Yard (Goods Line)	Millerhill East Jn – Millerhill Yard (Goods Line)	0	00	0	19	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC157	MLE	Millerhill South Jn	Millerhill East Jn (Goods Line)	Millerhill South Jn – Millerhill East Jn (Goods Line)	0	09	0	28	Y	Y	Y	N	N	N	Y	N	N	
Scotland	1022	SC159	NDE2	Millerhill West Jn	Millerhill South Jn / Millerhill Yard	Millerhill West Jn – Millerhill South Jn / Millerhill Yard	6	52	5	72	N	N	N	N	N	N	N	N	N	
Scotland	1022	SC161	NDE1	Millerhill Yard	Junction with Niddrie West Line	Millerhill Yard – Junction with Niddrie West Line	5	52	3	36	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC161	SUB1	Junction with Niddrie West Line	Portobello	Junction with Niddrie West Line – Portobello	3	36	3	30	Y	Y	Y	N	N	N	Y	N	N	
Scotland	1022	SC161	MHL4	Newcraighall East Jn	Network Rail / Abellio Scotrail Boundary	Newcraighall East Jn – Network Rail / Abellio Scotrail Boundary	00	00	00	08	N	N	N	N	N	N	N	N	N	
Scotland	1022	SC163	SUB1	Portobello	Change of ELR	Portobello – Change of ELR	3	30	4	00	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC163	SUB2	Change of ELR	Niddrie West	Change of ELR – Niddrie West	6	69	6	30	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1022	SC164	NNS	Newcraighall North Jn	Newcraighall South Jn	Newcraighall North Jn – Newcraighall South Jn	4	63	5	02	R1 R2	R1 R2	N	N	N	N	N	N	N	R1 55mph maximum speed R2 All passenger trains, except when operated by Class 158 or 170 DMUs, require a Special Operating Instruction
Scotland	1022	SC164	SBO	Newcraighall South Jn	Tweedbank	Newcraighall South Jn – Tweedbank	5	02	35	34	R1 R2	R1 R2	N	N	N	N	N	N	N	R1 55mph maximum speed R2 All passenger trains, except when operated by Class 158 or 170 DMUs, require a Special Operating Instruction
Scotland	1022	SC165	MHY	Niddrie South Jn	Niddrie West Jn	Niddrie South Jn – Niddrie West Jn	7	06	6	30	Y	Y	Y	N	N	N	Y	N	N	
