Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1068	SC093	SCM1	Motherwell – Mossend South	89	51	91	08	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC093	SCM2	Mossend South – Whifflet North Jn	91	08	94	05	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC093	SCM3	Whifflet North Jn – Gartsherrie South Jn (Limit of OLE)	94	05	95	64	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC093	SCM3	Gartsherrie South Jn (Limit of OLE) – Greenhill Lower Jn	95	64	106	63	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC097	SYE	Whifflet South Jn – Sunnyside Jn (Goods Line)	9	63	8	43	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC099	RSL2	Whifflet North Jn – Change of ELR	0	00	0	34	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC099	RSL1	Change of ELR – Langloan Jn	6	59	6	34	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC101	RCB	Coatbridge Jn – Langloan Jn	7	03	6	34	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC103	CBD1	Garnqueen North Jn – Gartcosh Jn	1	33	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC103	CBD2	Gartcosh Jn – Change of ELR	97	09	103	41	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC103	SGN	Change of ELR – Cowlairs West Jn	0	61	-0	20	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC106	PNS	Sighthill West Jn – Cowlairs South Jn (Chord Line)	0	30	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	EGM4	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	ECN1	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	EGM3	Waverley West End – Haymarket (South Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	ECN2	Waverley West End – Haymarket (North Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	EGM2	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1068	SC107	ECN2	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
