Scotland	1108	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Scotland	1108					W6	W7	W8	W9	W9Plus	W10	W10A	W12	
Scotland	1108	SC135	Dalreoch Jn – Balloch	Dalreoch Jn	Balloch	Y *	N	N	N	N	N	N	N	
Scotland	1108	SC136	Hyndland North Jn – Hyndland West Jn	Hyndland North Jn	Hyndland West Jn	Y	Y	N	N	N	N	N	N	
Scotland	1108	SC137	Clydebank Dock Jn – Rothesay Dock (Goods Line) (OOU)	Clydebank Dock Jn	Rothesay Dock (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1108	SC139	Clydebank Jn – Dalmuir Riverside (Goods Line) (OOU)	Clydebank Jn	Dalmuir Riverside (Goods Line) (OOU)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1108	SC141	Craigendoran Jn – Fort William	Craigendoran Jn	Fort William	Y *	Y	Y	N	N	N	N	N	
Scotland	1108	SC143	Crianlarich – Oban	Crianlarich	Oban	Y *	Y	N	N	N	N	N	N	
Scotland	1108	SC143	Lower Crianlarich Siding	Lower Crianlarich Siding		N	N	N	N	N	N	N	N	Part NOT Network Rail infrastructure
Scotland	1108	SC145	Fort William – Annat Paper Mill GF	Fort William	Annat Paper Mill GF	Y *	Y	Y	N	N	N	N	N	
Scotland	1108	SC145	Annat Paper Mill GF – Mallaig	Annat Paper Mill GF	Mallaig	Y *	Y	N	N	N	N	N	N	
Scotland	1108	SC147	Berwick – Edinburgh, Waverley East End	Berwick	Edinburgh, Waverley East End	Y *	Y	Y	Y	R1 R2 R3 R4 R5 R6 R7 R8	R1 R2 R3 R4 R5 R6 R7 R8	R1 R2 R3 R4 R5 R6 R7 R8	R1 R2 R3 R4 R5 R6 R7 R8	R1 PROHIBITED Berwick to Territory Bounday R2 PROHIBITED Monktonhall Jn to Edinburgh, Waverley East End R3 PROHIBITED Granthouse Up and Down Passenger Loops R4 PROHIBITED Torness Up sidings R5 PROHIBITED Oxwellmains Up and Down sidings R6 PROHIBITED Dunbar Down and Up Passenger Loop R7 PROHIBITED Drem Up and Down Passenger Loops R8 PROHIBITED Prestonpans Up Passenger Loop
Scotland	1108	SC147	Edinburgh, Waverley East End – Princes Street Gardens	Edinburgh, Waverley East End	Princes Street Gardens	Y *	Y	R1	R1	N	N	N	N	R1 W8 W9 Prohibited EXCEPT all through routes Edinburgh Waverley Station and Lines W & Z between Edinburgh Waverley and Princes Street Gardens
Scotland	1108	SC147	Princes Street Gardens to Haymarket Central Jn	Princes Street Gardens	Haymarket Central Jn	Y *	Y	R1	R1	N	N	N	N	R1 W8 W9 Prohibited both Lines Haymarket North Tunnel
Scotland	1108	SC149	North Berwick – Drem Jn	North Berwick	Drem Jn	Y	Y	N	N	N	N	N	N	
