Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	334	350	380	385	390	397	Notes
Scotland	1045	SC189	CRE	Westfield – Change of Mileage	28	77	33	04	N	N	N	N	N	N	
Scotland	1045	SC189	CRE	Change of Mileage – Redford Jn (Goods Line)	33	28	33	45	N	N	N	N	N	N	
Scotland	1045	SC191	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	N	N	N	
Scotland	1045	SC191	ECN2	Dundee – Camperdown Jn	59	14	59	77	N	N	N	N	N	N	
Scotland	1045	SC191	ECN3	Camperdown Jn – Change of ELR (Arbroath SB)	0	21	17	17	N	N	N	N	N	N	
Scotland	1045	SC191	ECN4	Change of ELR (Arbroath SB) – Change of ELR (Montrose)	17	55	33	28	N	N	N	N	N	N	
Scotland	1045	SC191	ECN5	Change of ELR (Montrose) – Craiginches	203	11	239	55	N	N	N	N	N	N	
Scotland	1045	SC191	ECN5	Craiginches – Aberdeen	239	55	241	06	N	N	N	N	N	N	
Scotland	1045	SC193	HGL1	Perth South Jn – Change of ELR	150	61	158	38	N	N	N	N	N	N	
Scotland	1045	SC193	HGL2	Change of ELR – Stanley Jn	7	02	7	07	N	N	N	N	N	N	
Scotland	1045	SC193	HGL2	Stanley Jn – Milburn Jn	7	07	143	39	N	N	N	N	N	N	
Scotland	1045	SC193	HGL2	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	N	N	N	N	N	N	
Scotland	1045	SC193	RSW	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	N	
Scotland	1045	SC193	HGL2	Welsh's Bridge Jn – Inverness platforms 1 - 4	117	56	118	03	N	N	N	N	N	N	
Scotland	1045	SC195	ECN5	Aberdeen – Change of ELR	241	06	241	08	N	N	N	N	N	N	
Scotland	1045	SC195	ANI1	Change of ELR – Keith Jn SB	0	00	53	05	N	N	N	N	N	N	
Scotland	1045	SC195	ANI2	Keith Jn SB – Forres	30	40	0	00	N	N	N	N	N	N	
Scotland	1045	SC195	ANI3	Forres – Milburn Jn	119	26	143	39	N	N	N	N	N	N	
Scotland	1045	SC195	HGL2	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	N	N	N	N	N	N	
Scotland	1045	SC195	RSW	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	N	
Scotland	1045	SC195	HGL2	Welsh's Bridge Jn – Inverness platforms 1 - 4	117	56	118	03	N	N	N	N	N	N	
Scotland	1045	SC197	WRO	Kittybrewster – Waterloo Goods (Goods Line)	1	62	0	03	N	N	N	N	N	N	
Scotland	1045	SC199	DFN	Keith Jn – End of Line	53	06	53	36	N	N	N	N	N	N	
Scotland	1045	SC203	RSW	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	N	
Scotland	1045	SC203	WCK	Inverness platforms 5 - 7 – Rose Street Jn	0	02	0	18	N	N	N	N	N	N	
