Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	166 RHM	168	170	171	172	175	180	195	196	220	221	Notes
London-North-Western-South	0558	MD101	LEC1	London Euston – Camden Jn DC Lines	0	00	1	36	N	N	N	N	N	R1 R2	Y	N	N	N	Y	T	R1 Prohibited Euston platform 17 R2 Prohibited Euston platform 3 when laden
London-North-Western-South	0558	MD101	LEC1	Camden Jn DC Lines – Camden Jn (NLL)	1	36	1	51	N	N	N	N	N	Y	Y	N	N	N	Y	T	
London-North-Western-South	0558	MD101	LEC1	Camden Jn – West London Jn (Willesden)	1	51	5	23	E R1	N	N	N	N	Y	Y	N	N	N	Y	T	R1 Route prohibited to Class 165/1
London-North-Western-South	0558	MD101	LLG	West London Jn (Willesden) – Sudbury Jn (Willesden Relief Lines)	0	12	2	03	E R1	N	E	N	N	Y	Y	R2	N	N	Y	Y	R1 Route prohibited to Class 165/1 R2 For access to Wembley Yard
London-North-Western-South	0558	MD101	LEC1	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	E R1	N	E	N	N	Y	Y	N	N	N	Y	T	R1 Route prohibited to Class 165/1
London-North-Western-South	0558	MD101	LEC1	Harlesden Jn – Watford South Jn	6	01	17	06	E R1	N	E	N	N	Y	Y	N	N	N	Y	T	R1 Route prohibited to Class 165/1
London-North-Western-South	0558	MD101	LEC1	Watford South Jn – Bletchley South Jn	17	06	46	41	E R1	N	E	N	N	R2	Y	N	N	N	Y	T	R1 Route prohibited to Class 165/1 R2 ECS only between Watford Junction and Bletchley Jn
London-North-Western-South	0558	MD101	LEC1	Bletchley South Jn – Bletchley (platforms 1-5) – Denbigh Hall South Jn	46	41	47	52	E R1	N	E	N	N	E	Y	N	N	Y	Y	T	R1 Route prohibited to Class 165/1
London-North-Western-South	0558	MD101	LEC1	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	E R1	N	E	E R2	N	E	Y	N	N	Y	Y	T	R1 Route prohibited to Class 165/1 R2 Prohibited between Denbigh Hall South Jn and Wolverton Works
London-North-Western-South	0558	MD101	LEC1	Hanslope North Jn – Hillmorton Jn	56	66	81	28	E R1	N	E	Y	N	E R2	Y	N	N	Y	Y	T	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0558	MD101	LEC1	Hillmorton Jn – Rugby Trent Valley Jn	81	28	83	18	E R1 R2	N	E	Y	N	E R3	Y	N	N	Y	Y	T	R1 Route prohibited to Class 165/1 R2 Prohibited between Rugby and Rugby Trent Valley Jn R3 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0558	MD101	LEC2	Rugby Trent Valley Jn – Armitage Jn (NW1001 Sectional Appendix Boundary)	83	18	119	20	N	N	N	Y	N	R1 R2	Y	N	N	R3	Y	T	R1 Prohibited Rugby Trent Valley Jn to Nuneaton South Jn R2 Prohibited Nuneaton to Armitage Jn (NW1001 Sectional Appendix Boundary) R3 Tare inflated suspension only past Telephone (Up Fast 1100, 114m 66ch)
London-North-Western-South	0558	MD105	HNR	Hanslope Jn (MD101) – Northampton South Jn	56	66	65	55	E R1	N	E	Y	N	E R2	Y	N	N	Y	Y	Y	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
