London-North-Western-South	0555	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description					RA	Loco Gauge	Notes
London-North-Western-South	0555						M	Ch	M	Ch			
London-North-Western-South	0555	MD101	LEC1	London Euston	Camden Jn DC Lines	London Euston – Camden Jn DC Lines	0	00	1	36	8	R1 R2 R3	R1 Prohibited Euston station platform 11 R2 Prohibited Euston station platform 15 R3 Prohibited between Camden Jn South and Camden Jn (DC Lines) on the Down Slow line
London-North-Western-South	0555	MD101	LEC1	Camden Jn DC lines	Camden Jn (NLL)	Camden Jn DC lines – Camden Jn (NLL)	1	36	1	51	8	Y	
London-North-Western-South	0555	MD101	LEC1	Camden Jn	West London Jn (Willesden)	Camden Jn – West London Jn (Willesden)	1	51	5	23	8	Y	
London-North-Western-South	0555	MD101	LLG	West London Jn (Willesden)	Sudbury Jn (Willesden Relief lines)	West London Jn (Willesden) – Sudbury Jn (Willesden Relief lines)	0	12	2	03	8	Y	
London-North-Western-South	0555	MD101	LEC1	West London Jn (Willesden)	Harlesden Jn	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	8	Y	
London-North-Western-South	0555	MD101	LEC1	Harlesden Jn	Watford South Jn	Harlesden Jn – Watford South Jn	6	01	17	06	8	Y	
London-North-Western-South	0555	MD101	LEC1	Watford South Jn	Bletchley South Jn	Watford South Jn – Bletchley South Jn	17	06	46	41	8	Y	
London-North-Western-South	0555	MD101	LEC1	Bletchley South Jn – Bletchley (Platforms 1 – 5)	Denbigh Hall South Jn	Bletchley South Jn – Bletchley (Platforms 1 – 5) – Denbigh Hall South Jn	46	41	47	52	8	Y	
London-North-Western-South	0555	MD101	LEC1	Denbigh Hall South Jn	Hanslope North Jn	Denbigh Hall South Jn – Hanslope North Jn	47	52	56	66	8	Y	
London-North-Western-South	0555	MD101	LEC1	Hanslope North Jn	Hillmorton Jn	Hanslope North Jn – Hillmorton Jn	56	66	81	28	8	Y	
London-North-Western-South	0555	MD101	LEC1	Hillmorton Jn	Rugby Trent Valley Jn	Hillmorton Jn –Rugby Trent Valley Jn	81	28	83	18	8	Y	
