Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	58	59	60	66	67	68	70	73	97/3	Notes
London-North-Western-South	0633	MD435	HSJ	Site of Former Handsworth Jn – Smethwick Jn	132	47	133	32	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD435	GSJ2	Smethwick Jn – Stourbridge North Jn	133	32	141	06	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD440	GSJ1	Galton Jn – Smethwick Jn	3	64	4	08	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD445	SJS	Stourbridge Jn – Stourbridge Town	142	16	142	78	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD450	OWW	Stourbridge North Jn – Round Oak	142	15	146	13	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD455	KWD	Kingswinford Jn – Network Rail Boundary	144	33	145	60	8	N	N	N	N	N	N	N	N	N	Line out of use NME/2005/LNW284
London-North-Western-South	0633	MD460	SJT1	Kineton MOD Branch – Burton Dassett (MOD Kineton)	22	60	25	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD501	DBP1	Route Boundary (LN3501) (London Road Jn) – Kingsbury Jn	23	30	29	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD501	DBP2	Kingsbury Jn – Water Orton East Jn	29	39	33	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD501	DBP3	Water Orton East Jn (Change of Mileage) – Landor Street Jn	34	43	40	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD501	DBP3	Landor Street Jn – Proof House Jn	40	60	41	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD545	KJW	Kingsbury Jn – Whitacre Jn (Change of Mileage)	29	39	31	69	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD555	NWO	Nuneaton North Junction – Lmit of Electrification	10	18	10	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD555	NWO	Limit of Electrification – Whitacre West Junction	10	00	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD555	DBP3	Whitacre West Jn – Water Orton East Jn	31	69	34	43	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD560	WOP	Water Orton West Jn – Park Lane Change of ELR	35	15	36	04	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD560	CBR2	Park Lane Change of ELR – Park Lane Jn	36	04	36	15	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD565	CBR1	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD565	CBR2	Park Lane Jn – Ryecroft Jn	36	04	47	48	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD570	LSS	Landor Street Jn – St Andrews Jn	40	60	41	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD570	SKN	St Andrews Jn – Bordesley Jn	41	18	41	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD570	SKN	Bordesley Jn – Kings Norton Jn (Camp Hill Lines)	41	44	46	77	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD575	SAG	St Andrews Jn – Grand Jn	0	00	0	52	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0633	MD580	LEL	Lifford East Jn – Lifford West Jn	46	11	46	36	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
