London-North-Western-South	0512	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-South	0512	MD150	KGW	Route Boundary (EA1310) (Kensal Green Jn)	Willesden Suburban Jn	Route Boundary (EA1310) (Kensal Green Jn) – Willesden Suburban Jn	5	25	5	36	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD155	KGC	Route Boundary (EA1310) (Kensal Green Jn)	Harlesden Jn	Route Boundary (EA1310) (Kensal Green Jn) – Harlesden Jn	0	21	1	00	Y	Y	Y	N	N	Y	N	Y	N	
London-North-Western-South	0512	MD160	WMB	Route Boundary (EA1310) (Willesden High Level Jn)	Mitre Bridge Jn	Route Boundary (EA1310) (Willesden High Level Jn) – Mitre Bridge Jn	0	09	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD166	WLL	Route Boundary (SO250) (North Pole Jn)	Mitre Bridge Jn	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	5	65	5	67	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD166	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD166	LLG	West London Jn (Willesden)	Wembley Central Jn (Willesden Relief lines)	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	0	12	2	59	Y	Y	Y	EH	Y	Y	N	Y	N	
London-North-Western-South	0512	MD167	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD167	WAW	West London Jn (Willesden)	Route Boundary (EA1360) (Acton Wells)	West London Jn (Willesden) – Route Boundary (EA1360) (Acton Wells)	6	19	6	76	Y	Y	Y	EH R1	N	Y	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0512	MD170	ACW	Route Boundary (EA1360) (Acton Canal Wharf Jn)	Willesden Jn	Route Boundary (EA1360) (Acton Canal Wharf Jn) – Willesden Jn	0	11	0	00	Y	Y	Y	EH R1	N	Y	N	N	N	R2 Prohibited with footsteps fitted
London-North-Western-South	0512	MD175	BPH	Bridge Street LC	Site of Former Bridge Street Jn	Bridge Street LC – Site of Former Bridge Street Jn	4	56	4	29	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0512	MD175	BDN	Site of Former Bridge Street Jn	Site of Former Duston North Jn	Site of Former Bridge Street Jn – Site of Former Duston North Jn	0	00	0	18	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0512	MD175	NMH	Site of Former Duston North Jn	Northampton South Jn	Site of Former Duston North Jn – Northampton South Jn	0	29	0	65	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0512	MD180	RTS	Rugby Trent Valley Jn	New Bilton	Rugby Trent Valley Jn – New Bilton	0	00	0	79	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD232	NMA	Abbey Jn	Midland Yard Jn	Abbey Jn – Midland Yard Jn	9	60	10	09	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD232	PVS	Midland Yard Jn	Limit of Electrification (Up Direction)	Midland Yard Jn – Limit of Electrification (Up Direction)	10	09	10	39	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD232	PVS	Limit of Electrification (Up Direction)	Nuneaton South Change of ELR	Limit of Electrification (Up Direction) – Nuneaton South Change of ELR	10	39	10	61	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD232	WNS	Nuneaton South Change of ELR	Nuneaton South Jn	Nuneaton South Change of ELR – Nuneaton South Jn	0	00	0	05	Y	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0512	MD232	WNS	Nuneaton South Jn	Limit of Electrification (Down Direction)	Nuneaton South Jn – Limit of Electrification (Down Direction)	0	05	0	39	Y	Y	Y	N	N	N	N	N	N	
