London-North-Western-South	0544	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RH M	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0544	MD320	PBJ	Bescot Jn	Bushbury Jn	Bescot Jn – Bushbury Jn	8	50	15	32	E R1	N	Y	Y	N	N	Y	N	EH R2	Y	Y	R1 Prohibited between Bescot Jn and Darlaston Jn R2 Prohibited between Bescot Jn and Bushbury (Oxley) Jn
London-North-Western-South	0544	MD325	SSP	Soho South Jn	Perry Barr West Jn	Soho South Jn – Perry Barr West Jn	2	71	0	39	Y	N	Y	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD325	PBL	Perry Barr West Jn	Perry Barr North Jn	Perry Barr West Jn – Perry Barr North Jn	0	29	0	00	Y	N	Y	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD330	SCL	Soho East Jn	Soho North Jn	Soho East Jn – Soho North Jn	0	00	0	22	Y	N	Y	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD335	SSP	Perry Barr West Jn	Perry Barr South Jn	Perry Barr West Jn – Perry Barr South Jn	0	39	0	00	Y	N	Y	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD340	ALC1	Aston North Jn	Sutton Coldfield Change of ELR	Aston North Jn – Sutton Coldfield Change of ELR	0	00	5	00	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD340	ALC2	Sutton Coldfield Change of ELR	Lichfield City Jn	Sutton Coldfield Change of ELR – Lichfield City Jn	5	00	13	33	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD340	BJW3	Lichfield City Jn	Lichfield Trent Valley (End of Electrification)	Lichfield City Jn – Lichfield Trent Valley (End of Electrification)	16	47	18	05	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD340	BJW3	Lichfield Trent Valley	Route Boundary (LN3340) (Wichnor Jn)	Lichfield Trent Valley – Route Boundary (LN3340) (Wichnor Jn)	18	05	19	00	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD345	BJW1	Bescot Jn	Walsall Pleck Jn (Change of Mileage)	Bescot Jn – Walsall Pleck Jn (Change of Mileage)	0	00	0	65	N	N	E	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD345	BJW2	Walsall Pleck Jn (Change of Mileage)	Park Street Tunnel	Walsall Pleck Jn (Change of Mileage) – Park Street Tunnel	5	42	6	34	E	N	E	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD345	BJW2	Park Street Tunnel	Ryecroft Jn	Park Street Tunnel – Ryecroft Jn	6	34	6	76	E	N	E	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD345	BJW2	Ryecroft Jn	Change of Mileage	Ryecroft Jn – Change of Mileage	6	76	6	79	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD345	RRN1	Change of Mileage	Cannock Change of ELR	Change of Mileage – Cannock Change of ELR	0	00	7	20	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD345	RRN2	Cannock Change of ELR	Route Boundary (NW1004) (Rugeley North Jn)	Cannock Change of ELR – Route Boundary (NW1004) (Rugeley North Jn)	7	20	14	00	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD350	BJW3	Anglesea Sidings	Lichfield City Jn	Anglesea Sidings – Lichfield City Jn	12	15	16	47	N	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2005/LN296
London-North-Western-South	0544	MD355	LTV	Lichfield South Jn	Lichfield Trent Valley Jn (Chord Line)	Lichfield South Jn – Lichfield Trent Valley Jn (Chord Line)	0	22	0	02	N	N	N	Y	N	N	N	N	N	Y	Y
London-North-Western-South	0544	MD360	WDJ	Walsall, Pleck Jn	Darlaston Jn	Walsall, Pleck Jn – Darlaston Jn	1	16	0	15	E	N	E	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD365	PJW	Portobello Jn	Wolverhampton Crane Street Jn	Portobello Jn – Wolverhampton Crane Street Jn	0	04	1	59	N	N	Y	Y	N	N	Y	N	N	Y	Y
London-North-Western-South	0544	MD401	DCL	Route Boundary (GW200) (Heyford)	Aynho Jn	Route Boundary (GW200) (Heyford) – Aynho Jn	75	00	81	13	Y	Y	Y	N	N	R1	Y	Y	N	Y	T	R1 Route prohibited to Class 172/2 and 172/3
