Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-South	0651	MD430	Droitwich Spa – Stourbridge North Junction	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD435	Small Heath South Junction – Smethwick Junction via Birmingham Snow Hill	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD435	Smethwick Junction – Stourbridge North Junction	Y *	R1	R1	N	N	N	N	N	R1 W8 prohibited on the Down Line between Rowley Regis and Stourbridge North Junction. W7 15 mph on the Down Line and W7 W8 15 mph on the Up Line through Old Hill Tunnel. STNC to 30/12/2011
London-North-Western-South	0651	MD440	Galton Junction – Smethwick Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD445	Stourbridge Junction – Stourbridge Town	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD450	Stourbridge North Junction – Round Oak via Kingswinford Junction South	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD460	Fenny Compton Junction – Burton Dassett (MOD Kineton)	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Tamworth (inclusive) – Water Orton East Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0651	MD501	Water Orton East Junction – Landor Street Junction	Y *	Y	Y	Y	R1	Y	R1	R1	R1 Prohibited Water Orton West to Landor Street Jn
London-North-Western-South	0651	MD501	Landor Street Junction – Proof House Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Duddeston Jn – Lawley Street FLT boundary	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0651	MD545	Kingsbury Junction – Whitacre Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0651	MD555	Nuneaton North Junction – Water Orton East Junction via Arley	Y	Y	Y	Y	R1	Y	R1	R1	R1 Prohibited Nuneaton North Junction to Whitacre Jn
London-North-Western-South	0651	MD560	Water Orton West Junction – Park Lane Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0651	MD565	Castle Bromwich Junction – Ryecroft Junction via Park Lane Junction	Y *	Y	Y	Y	N	R1	N	N	R1 20mph through CBR2-21 at 37m 49ch and CRB2-20 at 37m 42ch on the Down Main line
London-North-Western-South	0651	MD570	Saltley (Landor Street Jn) – St Andrew’s Jn	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0651	MD570	St Andrew’s Jn – Bordesley Jn (Camp Hill lines)	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0651	MD570	Bordesley Jn – Kings Norton Jn (Camp Hill lines)	Y *	Y	N	N	N	N	N	N	
