London-North-Western-South	0471	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	121	139	142	144	150	153	155	156	158	159	Notes
London-North-Western-South	0471	MD120	CWJ	Harrow and Wealdstone (Sand Drag)	Watford Jn (DC Lines)	Harrow and Wealdstone (Sand Drag) – Watford Jn (DC Lines)	11	46	17	58	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD130	WSA	Watford Junction	St Albans Abbey	Watford Junction – St Albans Abbey	0	00	6	45	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD136	WCL	Harlesden Jn	Railnet Jn	Harlesden Jn – Railnet Jn	1	00	1	11	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD136	WCL	Railnet Jn	Willesden Carriage Shed South	Railnet Jn – Willesden Carriage Shed South	1	11	2	00	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD136	WCL	Willesden Carriage Shed South	Connection with Yard line	Willesden Carriage Shed South – Connection with Yard line	2	00	2	60	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD136	WEF1	Connection with Yard line	Wembley Central Jn	Connection with Yard line – Wembley Central Jn	2	60	2	76	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD137	WCL	Harlesden Jn	Railnet Jn	Harlesden Jn – Railnet Jn	1	00	1	11	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD137	UHL	Railnet Jn	Wembley Yard South Jn	Railnet Jn –Wembley Yard South Jn	1	11	1	62	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD137	WEF1	Wembley Yard South Jn	Wembley Central Jn	Wembley Yard South Jn – Wembley Central Jn	1	62	2	76	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD140	LEC1	Bletchley South Jn	Bletchley North Jn (Change of Mileage)	Bletchley South Jn – Bletchley North Jn (Change of Mileage)	46	41	46	59	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD140	BBM	Bletchley North Jn (Change of Mileage)	Limit of electrification (Bletchley TMD)	Bletchley North Jn (Change of Mileage) – Limit of electrification (Bletchley TMD)	0	11	0	21	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD140	BBM	Limit of electrification (Bletchley TMD)	Route Boundary (LN3140) (Bedford)	Limit of electrification (Bletchley TMD) – Route Boundary (LN3140) (Bedford)	0	21	16	07	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD145	CRC2	Route Boundary (EA1320) (Camden Road West Jn)	Camden Jn (North DC lines)	Route Boundary (EA1320) (Camden Road West Jn) –Camden Jn (North DC lines)	5	42	5	78	N	N	N	N	Y	N	N	N	N	N	
London-North-Western-South	0471	MD150	KGW	Route Boundary (EA1310) (Kensal Green Jn)	Willesden Suburban Jn	Route Boundary (EA1310) (Kensal Green Jn) –Willesden Suburban Jn	5	25	5	36	N	N	N	N	Y	N	N	N	N	N	
London-North-Western-South	0471	MD155	KGC	Route Boundary (EA1310) (Kensal Green Jn)	Harlesden Jn	Route Boundary (EA1310) (Kensal Green Jn) –Harlesden Jn	0	21	1	00	N	N	N	N	Y	N	N	N	N	N	
London-North-Western-South	0471	MD160	WMB	Route Boundary (EA1310) (Willesden High Level Jn)	Mitre Bridge Jn	Route Boundary (EA1310) (Willesden High Level Jn) –Mitre Bridge Jn	0	09	0	00	N	N	N	N	Y	N	N	N	N	N	
London-North-Western-South	0471	MD166	WLL	Route Boundary (SO250) (North Pole Jn)	Mitre Bridge Jn	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	5	65	5	67	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0471	MD166	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0471	MD166	LLG	West London Jn (Willesden)	Wembley Central Jn (Willesden Relief lines)	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	0	12	2	59	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0471	MD167	WLL	Mitre Bridge Jn	West London Jn (Willesden)	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0471	MD167	WAW	West London Jn (Willesden)	Route Boundary (EA1360) (Acton Wells)	West London Jn (Willesden) – Route Boundary (EA1360) (Acton Wells)	6	19	6	76	N	N	N	N	Y	N	N	N	Y	N	
London-North-Western-South	0471	MD170	ACW	Route Boundary (EA1360) (Acton Canal Wharf Jn)	Willesden Jn	Route Boundary (EA1360) (Acton Canal Wharf Jn) –Willesden Jn	0	11	0	00	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Western-South	0471	MD175	BPH	Bridge Street LC	Site of Former Bridge Street Jn	Bridge Street LC – Site of Former Bridge Street Jn	4	56	4	29	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
London-North-Western-South	0471	MD175	BDN	Site of Former Bridge Street Jn	Site of Former Duston North Jn	Site of Former Bridge Street Jn – Site of Former Duston North Jn	0	00	0	18	N	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2014/LNW443v2
